account,company_name,industry,sub_industry,workflow_pattern,classification_source,confidence,ltv,mrr,users,account_age_days,annual_sales,qb_customers,health_score,total_events,invoices,estimates,opportunities,activities,industry_account_count,industry_avg_ltv,industry_median_ltv,industry_total_ltv,industry_avg_users,industry_median_users,industry_avg_mrr,industry_median_mrr,industry_avg_invoices,industry_avg_estimates,industry_avg_opportunities,industry_avg_activities,sub_account_count,sub_avg_ltv,sub_median_ltv,sub_avg_users,sub_median_users,sub_avg_mrr,sub_avg_invoices,sub_avg_estimates,sub_avg_opportunities,sub_avg_activities,website,description,product_types,product_complexity,mwd_vertical,sector,signup_date,qbo_industry
hsabearings,HSA Bearings,Consumer Goods,Jewelry,transactional,llm_classification,medium,3677.0,,2.0,,3078708,371.0,92.0,5136,3477,1659,0,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,hsabearings.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),WholesaleDistributionandSales,2022-04-06,WholesaleDistributionandSales
durabikelocker,"Hannan Specialties, Inc.",Security Equipment,Safes/Security,quote_driven,llm_classification,medium,13296.0,,5.0,,2953618,3262.0,19.0,87,0,87,0,0,6,23038.71,14556.5,138232.25,6.5,4.0,652.5,652.5,873.83,762.5,573.0,5323.0,4.0,9421.0,9621.5,3.0,2.5,,122.25,102.75,13.0,0.0,durabikelocker.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2022-03-17,
heritagesheds,Heritage Sheds and Garages LLC,Other,Unclassified,quote_driven,unclassified,,5834.0,,5.0,,632210,216.0,33.0,607,271,336,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,heritagesheds.net,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),ConstructionGeneralContractor,2022-03-08,ConstructionGeneralContractor
hydeparkpartners,American Engineering Group Ltd,Other,Unclassified,quote_driven,unclassified,,15033.0,289.0,1.0,,0,158.0,18.0,220,0,220,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,hydeparkpartners.us,Established 2014. Hyde Park Partners holding company owns/provides corporate resources. AEG International operations. Serves nations throughout Africa (including Tanzania) and worldwide. Comprehensive service range: product design/development to engineering analysis/manufacturing/marketing. Website: hydeparkpartners.us.,"Engineered products/expert engineering solutions: water purification, renewable energy solutions, industrial technologies. CAD/CAM/CAE expertise including finite element analysis (FEA/CFD) consulting. Products improving efficiency/quality of life. Global markets focus (Africa/worldwide).","Very High - Water purification system engineering, renewable energy solution development, industrial technology products, CAD/CAM/CAE expertise, finite element analysis (FEA/CFD) consulting, product design/development/manufacturing/marketing integration, Africa market specialization (Tanzania), worldwide distribution, Hyde Park Partners corporate structure, AEG International operations.",Wholesale and distribution services (MWD),WholesaleDistributionandSales,2022-02-28,WholesaleDistributionandSales
animalhospitalsupplyinc2,Animal Hospital Supply Inc.,Healthcare & Medical,Medical Equipment,quote_driven,llm_classification,medium,25685.07,410.0,9.0,0.0,5917318,6726.0,72.0,1271,0,477,19,775,32,20200.82,8934.0,646426.27,7.09,6.0,482.4,398.0,649.19,648.25,50.34,6096.09,16.0,22581.62,8589.5,4.75,4.0,350.8,437.69,375.31,21.81,976.0,animalhospitalsupply.com,"Established 2012, Flowery Branch, GA (4142 Industry Way). Developed procedure-specific surgical drapes with world's leading veterinary surgeons. Manufacturer partner with MWI Animal Health (major veterinary distributor). Focus: pet-specific designs vs. adapting human medical products. Addresses modern technology need in veterinary medicine.","Sterile surgical gowns/drapes, surgical procedure packs tailored for pet patients, procedure-specific surgical drape lines (developed with leading veterinary surgeons), sterile procedure packs (single drapes to full custom packs), warm air equipment (blowers/blankets preventing pet hypothermia during procedures), surgical gowns/accessories. Enhance surgical outcomes, reduce infection rates.","High - Pet-specific surgical product design requiring veterinary surgeon collaboration, sterile manufacturing processes, custom procedure pack assembly, warm air equipment integration, infection control technology, hypothermia prevention expertise, MWI Animal Health distribution partnership.",Retail,WholesaleDistributionandSales,2022-02-08,WholesaleDistributionandSales
colorantic,9373446 Canada Inc  - Colorantic,Construction & Building,Paint/Coatings,mixed,manual_verification,high,5448.0,,3.0,,0,3147.0,49.0,1934,0,0,0,1934,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,1.0,5448.0,5448.0,3.0,3.0,,0.0,0.0,0.0,1934.0,colorantic.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2022-02-04,
access2mobilityinc,Access2mobility,Healthcare & Medical,Mobility Equipment,transactional,manual_verification,high,25766.0,583.0,11.0,0.0,8617750,12532.0,61.0,6059,1815,606,25,3613,32,20200.82,8934.0,646426.27,7.09,6.0,482.4,398.0,649.19,648.25,50.34,6096.09,2.0,14387.4,14387.4,8.0,8.0,583.0,1173.0,359.0,12.5,2453.0,access2mobility.com,Provides complete mobility solutions for individuals with physical limitations. Offers both product sales and service options including repair/maintenance. Full-service mobility equipment provider for home and vehicle accessibility.,"Home equipment: Harmar/Bruno stair lifts (straight staircases), residential platform lifts, vertical platform lifts (Highlander II for scooters/wheelchairs/powerchairs), overhead/ceiling patient lifts (bed/bath transfers). Vehicle equipment: Bruno/Harmar wheelchair/scooter lifts (cars/trucks/SUVs), MPS hand controls (40+ years), BraunAbility lowered floor minivans, GoShichi pickup truck conversions, transfer seats. Personal mobility: scooters, powerchairs, lift chairs, rolling walkers/rollators (Upwalker/Nova Products), wheelchairs.","High - Multi-category mobility solutions (home/vehicle/personal), multi-brand distribution (Bruno/Harmar/BraunAbility/MPS/Upwalker/Nova), vehicle modification expertise (lowered floors, lift installations, hand controls), patient lift installation, repair/maintenance services, regulatory compliance (ADA/safety standards).",Retail,other,2022-02-01,other
goodchemistry,"Good Chemistry of Massachusetts, Inc",Healthcare & Medical,Medical Equipment,transactional,llm_classification,medium,16700.0,,9.0,,10578320,282.0,54.0,219,219,0,0,0,32,20200.82,8934.0,646426.27,7.09,6.0,482.4,398.0,649.19,648.25,50.34,6096.09,16.0,22581.62,8589.5,4.75,4.0,350.8,437.69,375.31,21.81,976.0,,Founded 2013. Vertically integrated cannabis company (Colorado and Massachusetts). Massachusetts locations: Lynn (696 Western Ave) and Worcester (9 Harrison St). Grows 100% of cannabis flower. 60+ different strains. Sells to dozens of dispensaries across Massachusetts (Cape Cod to NY border). Licensed cultivator and retailer.,"Cannabis flower (60+ strains, 100% in-house cultivation, GC Uniques proprietary/small batch strains), solventless concentrates (rosin, bubble hash, dry sift, live rosin, water hash), vape products (disposable vaporizers, vape cartridges, premium live resin options). Vertically integrated production (cultivation to retail).","Very High - Vertically integrated cannabis operations (cultivation/manufacturing/retail), 60+ strain breeding/cultivation, proprietary GC Uniques strain development, solventless concentrate manufacturing (rosin/bubble hash/dry sift technology), live resin vape production, Massachusetts/Colorado dual-state operations, dispensary network serving (Cape Cod to NY border), 10+ years cannabis expertise, premium small batch focus.",Retail,NonProfit,2022-01-27,NonProfit
perine2,Perine Lowe Inc,Other,Unclassified,mixed,unclassified,,4600.0,,3.0,,967186,28676.0,44.0,15988,0,0,0,15988,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,gmail.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),WholesaleDistributionandSales,2022-01-26,WholesaleDistributionandSales
inspiredsciencesllc,Inspired Sciences dba thermabliss,Healthcare & Medical,Spa/Wellness Products,quote_driven,manual_verification,high,21951.0,,10.0,0.0,1451085,3635.0,56.0,8306,0,524,0,7782,32,20200.82,8934.0,646426.27,7.09,6.0,482.4,398.0,649.19,648.25,50.34,6096.09,1.0,21951.0,21951.0,10.0,10.0,,0.0,524.0,0.0,7782.0,www.thermablisswellness.com,"20th Anniversary celebration, originally Spa Revolutions. Las Vegas, NV. Inspired Sciences, LLC dba thermabliss. Patented Lava Gel natural mineral energy source (magnesium, iron, salt, water) produces precise heat levels. Mission: empower spas/salons with professional thermal wellness tools making operations more efficient/safe/profitable. Recovers 60+ minutes prep/cleaning/reheating time.","Mineral-activated self-heating/cooling spa tools: self-heating Thai herbal compression tools, heat-infused masks, self-heating paraffin treatments (hands/feet in medical-grade mitts), Divine Eyes Self-Heating Mask, natural wood heating chambers. Patented Lava Gel technology (elements of earth). No cords, no hassle. Client-exclusive thermal wellness experiences replacing electrical appliances.","Very High - 20+ years spa innovation, patented Lava Gel mineral technology, self-heating/cooling engineering (no electrical cords), medical-grade materials, Thai herbal compression expertise, operational efficiency optimization (60+ minutes time savings), spa/salon professional market, natural mineral energy source development (magnesium/iron/salt/water).",Wholesale and distribution services (MWD),,2022-01-12,
cashionfishingrods2,Cashion Fishing Rods,Food & Beverage,Seafood,mixed,llm_classification,medium,5214.0,,2.0,,2822538,6980.0,40.0,1006,0,0,0,1006,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,3.0,4737.1,5214.0,2.33,2.0,,2272.33,0.0,16.33,2715.33,cashionrods.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),Sporting and Athletic Goods Manufacturing,2022-01-11,
lampnutra2,LAMP NUTRA,Electrical,Lighting,transactional,llm_classification,medium,15515.0,273.0,7.0,,5414180,90314.0,40.0,18666,1276,210,0,17180,10,5696.98,2018.88,56969.75,3.9,3.5,268.5,259.0,330.5,299.9,76.9,2105.5,6.0,6844.5,5881.0,4.33,3.5,354.5,403.0,354.0,0.0,3299.5,lampnutra.com,"Founded 8/20/2014, Carlsbad, CA (3133 Tiger Run Ct Suite 107). Sole Proprietorship. Operates as LAMP Holdings and Royal Kratom. Contact: (800) 520-0966, info@lampnutra.com. NOT BBB Accredited. 11 years in business.",Online shopping services for kratom supplement products. Royal Kratom brand operations. Nutraceutical supplements.,"Medium - Kratom supplement specialization, Royal Kratom brand operations, online shopping platform, sole proprietorship business model, Carlsbad CA operations, 11 years nutraceutical market experience, LAMP Holdings corporate structure.",Manufacturing (MWD),,2021-12-30,
rlhindustriesinc2,"RLH Industries, Inc.",Technology,Fiber Optic Equipment,quote_driven,manual_verification,high,40214.39,,24.0,1445.0,11981957,8946.0,75.0,23692,0,6041,0,17651,21,21170.08,7220.0,444571.62,10.1,5.0,1088.5,385.5,34.29,1004.1,241.38,2319.62,1.0,40214.39,40214.39,24.0,24.0,,0.0,6041.0,0.0,17651.0,fiberopticlink.com,"Engineering and manufacturing in Orange, CA since 1988. Distribution across North America and internationally. Serves telecommunications, utility, and industrial markets. 35+ years fiber optic solutions experience.","Fiber optic converters (compact/rugged for harsh environments), industrial Ethernet switches (Gigabit, Unmanaged, Managed, PoE/PoE+), AC/DC power supplies, DC/DC converters, solar/battery backup, fiber patch cords, bulk fiber cable, isolation systems (high voltage).","Very High - Industrial communication equipment for harsh environments, multiple product lines (converters/switches/power/cable), telecommunications and utility industry standards, engineering and manufacturing integration, worldwide distribution.",Manufacturing (MWD),Manufacturing,2021-12-29,Manufacturing
prestigeislandexports,Prestige Island Exports LLC,Construction & Building,Doors & Windows,transactional,llm_classification,medium,12355.0,,4.0,,174281058,1269.0,37.0,550,354,196,0,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,13.0,7882.36,7082.1,4.62,4.0,361.75,63.46,397.92,157.15,1037.23,prestigeislandexports.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2021-12-06,All other specialty trade contractors
lancoacquisitionllc,Lanco Acquisition LLC,Retail,E-commerce Reseller,quote_driven,manual_verification,medium,10242.1,,4.0,,6549749,7161.0,36.0,1876,0,801,0,1075,6,13441.18,7966.5,80647.1,7.0,5.0,741.0,741.0,501.67,210.33,26.83,2533.0,1.0,10242.1,10242.1,4.0,4.0,,0.0,801.0,0.0,1075.0,lanco-corp.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2021-11-24,
wholelogreclaimed3,WHOLE LOG RECLAIMED,Food & Beverage,Spirits,quote_driven,llm_classification,medium,4557.0,,2.0,,366507,4329.0,74.0,421,127,220,74,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,wholelogreclaimed.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),Reconstituted wood product manufacturing,2021-11-23,
ameritechfacilitysupplyllc,"Access Pro Supply, LLC",Construction & Building,Doors & Windows,quote_driven,llm_classification,medium,6428.54,,3.0,,0,3566.0,46.0,2166,0,1091,1075,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,13.0,7882.36,7082.1,4.62,4.0,361.75,63.46,397.92,157.15,1037.23,ameritechfs.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),WholesaleDistributionandSales,2021-11-22,WholesaleDistributionandSales
cpffloorsllc,CPF Floors LLC,Construction & Building,Flooring,transactional,manual_verification,high,39758.32,992.0,26.0,,13332885,928.0,57.0,41324,12858,0,0,28466,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,12.0,14053.58,10213.9,8.83,7.5,608.17,1377.75,476.08,306.92,5137.58,cpffloors.com,"Founded recently, founders have 20+ years flooring expertise. Large inventory in Miami-Dade warehouse. 400-strong dealer network. Fast delivery at competitive prices. Sales to distributors and stores. Phone: (305) 602-2330.","Rigid Core SPC vinyl flooring (durable, waterproof, easy install), waterproof laminate flooring, carpet tile, transition profiles, baseboards, underlayment, steps. Collections: Deco54, Project, Project 2.0, Spirit XL, DecoTile.","Medium-High - Multi-product flooring distribution, 400-dealer network management, warehouse logistics, technical resources (specs/installation guides), competitive pricing strategy, fast delivery requirements.",Wholesale and distribution services (MWD),,2021-11-17,
jpmdistributors,JPM Distributors,Other,Unclassified,transactional,unclassified,,3392.0,,2.0,,0,520.0,21.0,82,82,0,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,thegreenblazer.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2021-11-08,
vtechnicaltextiles,V Technical Textiles.com,Construction & Building,Flooring,crm_pipeline,llm_classification,medium,5962.0,,3.0,,0,2697.0,20.0,221,0,0,221,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,12.0,14053.58,10213.9,8.83,7.5,608.17,1377.75,476.08,306.92,5137.58,vtechtextiles.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),Manufacturing,2021-11-04,manufacturing
trioniccorp2,Trionic Corporate Partners LLC,Manufacturing,Marine/RV Products,crm_pipeline,manual_verification,high,4704.0,,2.0,,0,5272.0,37.0,4213,0,0,156,4057,26,9205.66,3855.5,239347.07,4.35,3.0,291.12,343.5,503.77,278.77,160.12,2463.77,1.0,4704.0,4704.0,2.0,2.0,,0.0,0.0,156.0,4057.0,trioniccorp.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),Manufacturing,2021-11-01,Manufacturing
furnitureprocorp,Furniture Pro Corporation,Furniture,Furniture,crm_pipeline,llm_classification,medium,2618.0,,1.0,,0,1182.0,41.0,1494,0,0,60,1434,16,13490.53,10213.0,215848.42,5.12,5.0,379.6,312.0,569.12,965.19,261.12,2519.56,12.0,10104.38,7122.5,4.42,4.0,298.0,486.5,850.58,97.17,968.25,furnitureprocorp.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),wholesale_distribution,2021-10-28,wholesale_distribution
centricityvisioninc3,"Centricity Vision, Inc",Other,Unclassified,crm_pipeline,unclassified,,28860.0,,3.0,,3289202,1087.0,49.0,58,0,0,58,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,centricityvision.com,"Carlsbad, CA. Global ophthalmic technology company, formerly Mynosys Cellular Devices (rebranded May 2020). Developer of ZEPTO® and ZEPTOLink IOL Positioning Systems. FDA 510(k) clearance for ZEPTOLink (May 2023). October 2024 platform enhancements reduced treatment time by 60%.","ZEPTO® IOL Positioning System (first/only instantaneous capsulotomy device, proprietary precision pulse technology, four-millisecond energy pulse, calibrated suction, 360-degree IOL overlap), ZEPTOLink™ IOL Positioning System (integrates with any phaco system, streamlines cataract surgery, 60% faster treatment). Ideal for premium IOLs, complex cases requiring precision. Cost/time savings, easy workflow integration.","Very High - Proprietary precision pulse capsulotomy technology, FDA 510(k) cleared medical devices, four-millisecond energy control algorithm, cataract surgery innovation, integration with phaco systems, premium IOL applications, continuous platform enhancements (60% time reduction).",Manufacturing (MWD),,2021-10-06,
universalpowerconversion,"Universal Power Conversion, Inc.",Food & Beverage,Spirits,quote_driven,llm_classification,medium,5604.0,,2.0,,781237,2903.0,69.0,342,0,342,0,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,universalpowerconversion.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),Manufacturing,2021-09-29,Manufacturing
firstmedicalinternationalcorp2,"First Medical International, Corp",Food & Beverage,Spirits,crm_pipeline,llm_classification,medium,11489.0,,7.0,,0,2273.0,12.0,27,0,0,27,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,firstmedicalint.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,(No Type),2021-09-07,(No Type)
ThePianoPlaceMichigan,The Piano Place Michigan LLC,Retail,Musical Instruments/Pianos,mixed,manual_verification,high,3952.0,,3.0,,0,1985.0,38.0,1195,0,0,0,1195,6,13441.18,7966.5,80647.1,7.0,5.0,741.0,741.0,501.67,210.33,26.83,2533.0,2.0,26949.0,26949.0,10.5,10.5,741.0,433.5,0.0,53.0,2823.0,gmail.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,Musical Instrument and Supplies Stores,2021-08-24,Musical instrument and supplies stores
Wilco,Wilco Imaging,Other,Unclassified,quote_driven,unclassified,,7823.0,,12.0,0.0,3191379,4670.0,44.0,3044,0,913,789,1342,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,loretech.io,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),WholesaleDistributionandSales,2021-08-18,WholesaleDistributionandSales
metkonusainc,"Metkon USA, Inc.",Consumer Goods,Jewelry,quote_driven,llm_classification,medium,10164.0,421.0,6.0,,1680837,1177.0,45.0,3292,511,650,237,1894,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,www.metkon.us,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2021-08-10,
healthcarestoragesolutionscorporation,Unicas Medical,Healthcare & Medical,Medical Equipment,quote_driven,llm_classification,medium,10747.0,,4.0,,10015737,259.0,45.0,2663,861,922,0,880,32,20200.82,8934.0,646426.27,7.09,6.0,482.4,398.0,649.19,648.25,50.34,6096.09,16.0,22581.62,8589.5,4.75,4.0,350.8,437.69,375.31,21.81,976.0,focusedenergy.work,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2021-08-09,
alliedmachinerysalesllc,Allied Machinery Sales,Food & Beverage,Craft Beer,quote_driven,llm_classification,medium,4576.0,,2.0,,379112278,444.0,48.0,1710,0,1710,0,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,13.0,6274.6,4576.0,2.69,2.0,342.0,352.46,189.85,31.31,585.62,alliedmachinerysales.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),GeneralProductbasedBusiness,2021-08-08,GeneralProductbasedBusiness
appliedwatertechnologies,Applied Water Technologies,Technology,Software/Technology,transactional,llm_classification,medium,9649.0,,3.0,,78623,848.0,37.0,133,133,0,0,0,21,21170.08,7220.0,444571.62,10.1,5.0,1088.5,385.5,34.29,1004.1,241.38,2319.62,13.0,9026.4,7220.0,5.0,4.0,340.67,47.92,365.0,138.15,211.85,gmail.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),WholesaleDistributionandSales,2021-07-28,WholesaleDistributionandSales
lancevalves2,Lance Valves,Construction & Building,Plumbing,transactional,llm_classification,medium,5769.0,,3.0,,1146006,1477.0,70.0,1203,1203,0,0,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,3.0,9747.83,8488.0,4.67,4.0,260.0,401.0,169.0,9.33,210.67,lancevalves.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),Manufacturing,2021-07-23,Manufacturing
lowrymanufacturingcompany2,Lowry Manufacturing Company,Consumer Goods,Jewelry,quote_driven,llm_classification,medium,8995.0,,3.0,,2635320,648.0,91.0,1125,323,802,0,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,lowrymfgco.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),Manufacturing,2021-07-16,
huntercattlecompany2,Hunter Cattle Company,Food & Beverage,Coffee,crm_pipeline,llm_classification,medium,9103.0,,2.0,,4369655,629.0,79.0,17,0,0,17,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,9.0,9948.44,7476.0,6.78,6.0,455.25,1096.89,287.67,16.11,1365.22,exigosalesandmarketing.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2021-07-15,
snoozies,"Buyers Direct, Inc.",Consumer Goods,Footwear/Slippers,mixed,manual_verification,high,7493.0,,4.0,,0,35721.0,40.0,6413,0,0,0,6413,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,1.0,7493.0,7493.0,4.0,4.0,,0.0,0.0,0.0,6413.0,deltaforce.net,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,WholesaleDistributionandSales,2021-07-14,WholesaleDistributionandSales
medicalz2,BPSP Company dba Medical Z,Healthcare & Medical,Medical Equipment,mixed,llm_classification,medium,10744.0,249.0,6.0,,2939712,8642.0,46.0,4828,0,0,0,4828,32,20200.82,8934.0,646426.27,7.09,6.0,482.4,398.0,649.19,648.25,50.34,6096.09,16.0,22581.62,8589.5,4.75,4.0,350.8,437.69,375.31,21.81,976.0,medicalz.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),Manufacturing,2021-06-28,Manufacturing
pattechnology2,PAT Technology Systems Inc.,Technology,Software/Technology,crm_pipeline,llm_classification,medium,9999.0,331.0,7.0,,3732365,3172.0,47.0,1838,0,375,535,928,21,21170.08,7220.0,444571.62,10.1,5.0,1088.5,385.5,34.29,1004.1,241.38,2319.62,13.0,9026.4,7220.0,5.0,4.0,340.67,47.92,365.0,138.15,211.85,pattechnology.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),WholesaleDistributionandSales,2021-06-17,WholesaleDistributionandSales
officefirstsolutions,OFFICE FIRST SOLUTIONS,Other,Unclassified,crm_pipeline,unclassified,,21240.0,,5.0,,0,5441.0,36.0,9,0,0,9,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,myofficefirst.com,"Columbus, OH (1665 Westbelt Dr). One of Ohio's largest used office furniture stores. Buys/sells new & used office furniture, cubicles, chairs. Years of experience providing office furniture solutions and liquidations. Services: interior design, space planning, delivery & installation. Contact: (614) 899-2300. Hours: M-F 9am-5pm, Sat 10am-2pm.","New & used office furniture: cubicles, chairs, desks, filing cabinets. Home office furniture. Interior design services, space planning, delivery & installation. Office furniture liquidations. Buy, sell and liquidate office furniture.","Medium - New/used office furniture buying/selling/liquidation expertise, interior design services, space planning capabilities, delivery/installation operations, Ohio's largest used furniture inventory, cubicle/chair specialization, home office market, multi-service offering (design/planning/delivery).",Retail,RetailSummary,2021-06-12,RetailSummary
iconusa,IOE USA CORP,Other,Unclassified,quote_driven,unclassified,,13199.0,,16.0,0.0,49841,67.0,38.0,42,0,42,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,iconoffice.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,All Other Miscellaneous Store Retailers,2021-05-26,All other miscellaneous store retailers (except tobacco stores)
dcooperworksllc,"D. COOPER WORKS, LLC",Other,Unclassified,quote_driven,unclassified,,22300.8,,13.0,,3431146,1758.0,63.0,509,0,460,49,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,dcooperworks.com,"Family-owned/operated since 2003, Pennsylvania (Honey Brook, incorporated). Ephrata, PA operations. Press Brake Repair specialist. Custom fabrication, prototyping, problem solving for commercial/industrial community. Partners with companies specializing in custom replacement parts - niche in restoring older/orphaned equipment. Contact: (717) 733-4220. ~5 employees, $808K annual revenue.","Press brake repair services (dedicated solutions for each individual machine), plate metal fabrication, ironwork, welding, industrial prototypes. Table top cheese cutters (cut 5 lb loaves into equal portions), vertical pneumatic cheese cutters. Custom replacement parts for older/orphaned equipment. Poultry processing machinery specialization.","High - Press brake repair expertise, custom fabrication/prototyping, orphaned equipment restoration (replacement parts sourcing), commercial/industrial problem solving, poultry processing machinery knowledge, cheese cutting equipment manufacturing, pneumatic systems, family-owned operations since 2003.",Manufacturing (MWD),Manufacturing,2021-05-20,manufacturing
daiwahealthdevelopment,"Daiwa Health Development, Inc.",Healthcare & Medical,Medical Equipment,transactional,llm_classification,medium,8554.0,,4.0,,1848375,5356.0,63.0,1621,703,0,0,918,32,20200.82,8934.0,646426.27,7.09,6.0,482.4,398.0,649.19,648.25,50.34,6096.09,16.0,22581.62,8589.5,4.75,4.0,350.8,437.69,375.31,21.81,976.0,dhdusa.net,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),Manufacturing,2021-05-13,manufacturing
