Account,SKU_Count,Avg_Delimiter_Count,Avg_Char_Length,Avg_Word_Count,Pct_With_SKU_Codes,Pct_With_Specs,Pct_With_Brand_Prefix,Pct_Service_Items,Pct_Inventory_Items,Pct_NonInventory_Items,Pct_Fee_Items,Primary_Business_Type,Catalog_Complexity_Score,Complexity_Tier,Sample_Products,SKU_Tier
perlite,47,0.98,64.3,10.7,4.3,14.9,95.7,6.4,0.0,93.6,0.0,NonInventory-Based (Digital/Services),26.8,Simple,"Expanded Perlite:Medium Expanded Perlite - 60 cubic foot bag - 005N, Freight:Freight, Misc:Packaging/Handling",21-50 (Standard)
planetarydesign2,50,2.14,31.1,2.2,74.0,40.0,84.0,2.0,74.0,2.0,4.0,Inventory-Based (Physical Products),46.0,Standard,"Shipping & Handling, Subtotal, PD:Airscapes:7in Airscapes:645771002503",21-50 (Standard)
pfpspokane2,50,0.02,9.9,1.1,98.0,0.0,2.0,0.0,88.0,0.0,0.0,Inventory-Based (Physical Products),19.1,Ultra-Simple,"ZLP16252, ZLP20252, ZLP16202",21-50 (Standard)
sixdegreesnorthbeveragegroup,50,0.16,15.4,1.8,72.0,0.0,4.0,8.0,56.0,36.0,0.0,Product-Based (Mixed Inventory),16.5,Ultra-Simple,"Item_Inventory asset (deleted), Item_Cost of goods sold (deleted), 346377",21-50 (Standard)
brewersicecompanyllc,50,0.0,20.9,4.5,82.0,62.0,0.0,40.0,0.0,60.0,0.0,NonInventory-Based (Digital/Services),22.5,Simple,"10 LB. CUBES NON 1.13 D, 20 LB. CUBES NON 2.10 B, 10 LB. BLOCK NON 1.50 B",21-50 (Standard)
yudoinc,50,1.26,29.7,2.3,94.0,0.0,40.0,8.0,54.0,38.0,0.0,Product-Based (Mixed Inventory),32.5,Simple,"FREIGHT(SPARE) (deleted), (NI)-CUSTOM SPARES:MISC, Services",21-50 (Standard)
quipementsvegtech,50,0.0,7.9,1.1,50.0,0.0,0.0,98.0,0.0,2.0,0.0,Service-Based,11.5,Ultra-Simple,"Un., Matériel., MO_FAB",21-50 (Standard)
paragonshuttersinternationalptyltd,28,0.18,30.2,5.2,10.7,0.0,0.0,14.3,0.0,85.7,0.0,NonInventory-Based (Digital/Services),5.0,Ultra-Simple,"ParaVinyl - STD (Standard Shape), PVC - STD (Standard Shape), ParaBass - STD (Standard Shape)",21-50 (Standard)
periodmouldings2,50,0.0,34.9,5.8,8.0,66.0,0.0,4.0,0.0,96.0,0.0,NonInventory-Based (Digital/Services),11.8,Ultra-Simple,"DEL1, Samples, BESPOKE",21-50 (Standard)
fuelinjectorclinic2,50,3.32,44.3,4.1,60.0,6.0,86.0,8.0,2.0,2.0,2.0,Product-Based (Mixed Inventory),46.5,Standard,"Freight, Injector Services:CLTF, Wiring parts:Plugs/Adaptors/Pig-tails sets:PGTUSC4",21-50 (Standard)
aandmdiscountfurniture4,50,0.06,18.9,1.9,44.0,0.0,0.0,6.0,88.0,0.0,2.0,Inventory-Based (Physical Products),11.0,Ultra-Simple,"Delivery & Assembly, General Repair Service, Mattress Direct-Twin Mattress",21-50 (Standard)
mautekinc,49,0.67,22.4,3.4,79.6,4.1,67.3,10.2,79.6,10.2,0.0,Inventory-Based (Physical Products),30.9,Simple,"Labour, Travel Time, Parts",21-50 (Standard)
pma13,50,0.0,5.9,1.0,98.0,0.0,0.0,0.0,82.0,16.0,0.0,Inventory-Based (Physical Products),18.7,Ultra-Simple,"MS999, FRT999, Deposit",21-50 (Standard)
energycurve,50,0.04,20.0,3.8,0.0,42.0,0.0,0.0,0.0,0.0,0.0,Product-Based (Mixed Inventory),8.5,Ultra-Simple,"Subtotal, Box Store Discount, Cash Discount",21-50 (Standard)
ebamethod,50,0.64,16.4,1.9,42.0,0.0,0.0,8.0,88.0,4.0,2.0,Inventory-Based (Physical Products),14.6,Ultra-Simple,"XXXFreight Daily Shipping (deleted), IBC.90, IBC.70",21-50 (Standard)
dinosaw2,50,0.04,10.8,1.0,94.0,0.0,0.0,0.0,2.0,84.0,0.0,NonInventory-Based (Digital/Services),18.4,Ultra-Simple,"BCTRT, BCTRT-P., Freight.",21-50 (Standard)
flooringrva,50,1.24,45.2,5.1,0.0,8.0,54.0,56.0,4.0,30.0,0.0,Service-Based,21.2,Simple,"Notes - Job Description:Notes - Job Description, Processing & Handling Fee, Delivery Of Materials",21-50 (Standard)
biophotasincsandbox,50,0.0,9.3,1.3,82.0,0.0,0.0,8.0,14.0,6.0,0.0,Product-Based (Mixed Inventory),16.3,Ultra-Simple,"Shipping, COTC-001, Preferred Customer Discount",21-50 (Standard)
halosilinternationalnxtllc,50,0.5,21.1,2.0,76.0,0.0,0.0,8.0,74.0,2.0,2.0,Inventory-Based (Physical Products),18.7,Ultra-Simple,"C.Delivery, HM10N0G4, Note",21-50 (Standard)
dyetusainc,50,2.02,59.6,6.9,32.0,12.0,100.0,2.0,98.0,0.0,0.0,Inventory-Based (Physical Products),38.5,Simple,"Mixers:Components:Topcon Digi-Star Scale 3 - 2.125"" Sensor Kit, Mixers:Components:Topcon Digi-Star 2805 Indicator, Bluetooth and power cable, Mixers:Components:Fixed Conveyor Discharge 30""",21-50 (Standard)
area51sportsltd,50,0.8,36.9,4.5,8.0,6.0,78.0,2.0,28.0,70.0,0.0,NonInventory-Based (Digital/Services),22.8,Simple,"Protective Equipment:Misc (deleted), Shipping (deleted), Shipping:Shipping",21-50 (Standard)
championproducts2,50,0.02,6.2,1.0,98.0,2.0,0.0,0.0,0.0,98.0,0.0,NonInventory-Based (Digital/Services),19.0,Ultra-Simple,"S/H, C58001, C11951",21-50 (Standard)
atlanticindustrialcorp,50,0.0,6.8,1.0,100.0,4.0,0.0,2.0,0.0,98.0,0.0,NonInventory-Based (Digital/Services),19.4,Ultra-Simple,"FREIGHT, 55PL603, SALES TAX",21-50 (Standard)
sunriseindustrialcleanersinc,50,0.0,8.1,2.2,58.0,10.0,0.0,0.0,26.0,0.0,0.0,Product-Based (Mixed Inventory),13.7,Ultra-Simple,"3 WWC205, 3 QK20, 3 UOP210",21-50 (Standard)
nationalfiltersupply,50,0.82,19.5,1.8,88.0,2.0,80.0,8.0,82.0,10.0,4.0,Inventory-Based (Physical Products),34.9,Simple,"Freight:Freight/ Delivery, Filtration Group:10390, Filtration Group:10388",21-50 (Standard)
jemmcollc,50,2.32,23.3,1.7,96.0,0.0,96.0,0.0,0.0,100.0,0.0,NonInventory-Based (Digital/Services),48.3,Standard,"SH, Sleeves:JemmTron:SS139098, Sleeves:JemmTron:SS190102",21-50 (Standard)
goldnerdockconstruction,50,0.74,23.1,3.0,84.0,0.0,72.0,54.0,16.0,30.0,2.0,Service-Based,32.3,Simple,"INSTALLATION:BOAT LIFT, DOCK SERVICE (deleted), LABOR:DOCK SERVICE",21-50 (Standard)
limbbusterllc,32,0.28,22.1,3.6,18.8,15.6,18.8,6.2,40.6,53.1,3.1,NonInventory-Based (Digital/Services),11.6,Ultra-Simple,"LB12AG, 24"" Carbide Tooth Saw Blade, LB16CM",21-50 (Standard)
trendysurfaces,50,0.74,24.5,2.7,82.0,0.0,74.0,6.0,78.0,0.0,0.0,Inventory-Based (Physical Products),32.3,Simple,"Freight Charge, SERVICE FEE, Discount Misc",21-50 (Standard)
pghorticulturelimited,50,0.02,6.0,1.0,88.0,0.0,0.0,10.0,90.0,0.0,2.0,Inventory-Based (Physical Products),17.3,Ultra-Simple,"., .p, QPPB",21-50 (Standard)
wearingwilliamsltd2,50,1.44,49.2,7.0,28.0,64.0,96.0,10.0,90.0,0.0,0.0,Inventory-Based (Physical Products),38.6,Simple,"Take On Balance-AR (deleted), Service:Delivery, Sealants & Adhesives:Bostik 70-03 SMP, Gray, 290 ml",21-50 (Standard)
tandssalesinc,50,0.54,15.7,2.7,6.0,4.0,42.0,10.0,70.0,16.0,2.0,Product-Based (Mixed Inventory),15.2,Ultra-Simple,"Part, Freight, Westfield",21-50 (Standard)
commfitness3,50,0.04,7.5,1.1,58.0,0.0,0.0,16.0,62.0,8.0,2.0,Product-Based (Mixed Inventory),13.0,Ultra-Simple,"Total AvaTax, F/I, Freight2",21-50 (Standard)
fishtnkinc,50,1.86,34.9,3.3,94.0,0.0,100.0,12.0,0.0,88.0,2.0,NonInventory-Based (Digital/Services),45.5,Standard,"CANADIANO:CANADIANO, AALINE:Accessories:Canopy Cover, AALINE:Linears:Linear Embedded",21-50 (Standard)
mytcoatcommercialoutdoorfurniture,50,0.0,11.0,1.1,80.0,0.0,0.0,0.0,0.0,92.0,2.0,NonInventory-Based (Digital/Services),16.0,Ultra-Simple,"FREIGHT BILL TO CUSTOMER, Subtotal, MCI Surcharge",21-50 (Standard)
transmetroninc3,50,1.12,23.9,2.3,58.0,0.0,92.0,26.0,62.0,0.0,0.0,Hybrid (Mixed),34.0,Simple,"Shipping & Handling:FedEx, Shipping & Handling:UPS, In-House Services:Collection:Urine",21-50 (Standard)
multiresidentialsupplyltd,50,1.24,46.7,7.2,90.0,0.0,18.0,74.0,26.0,0.0,2.0,Service-Based,28.5,Simple,"Sales, Custom Service, Custom Service (deleted)",21-50 (Standard)
ecocafs,50,0.9,34.2,5.4,6.0,20.0,82.0,14.0,30.0,56.0,0.0,NonInventory-Based (Digital/Services),25.2,Simple,"Services:Services, ECO CAF:ECO CAF 3-OG, Parts and Accessories:Mount",21-50 (Standard)
ippowerhouse,50,1.6,47.7,4.3,88.0,2.0,94.0,2.0,0.0,98.0,0.0,NonInventory-Based (Digital/Services),42.2,Standard,"Camera Systems and Cameras:Data Storage:WD101PURP, Camera Systems and Cameras:Accessories:TR-JB07/WM03-G-IN, Low Voltage Wiring:6E04URSPLSBL4NS",21-50 (Standard)
boutiqueampsdistribution,50,1.84,26.3,2.3,98.0,0.0,14.0,2.0,2.0,2.0,0.0,Product-Based (Mixed Inventory),33.1,Simple,"FREIGHT, REPAIR, WAMPLER.:PEDAL:TUMNUS",21-50 (Standard)
whiteherrinmetals,50,1.2,34.1,4.7,12.0,4.0,82.0,6.0,60.0,34.0,2.0,Product-Based (Mixed Inventory),26.5,Simple,"Services, Discount, Sheets:Flat sheets (deleted)",21-50 (Standard)
hongkongmarket,50,0.0,4.2,1.0,30.0,0.0,0.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),8.5,Ultra-Simple,"VBS, VOG, GOSBA",21-50 (Standard)
luxuryair,50,0.82,25.9,2.7,66.0,8.0,82.0,14.0,64.0,22.0,2.0,Product-Based (Mixed Inventory),32.5,Simple,"Shipping Charge, Cartridge Diffuser:71002 W, Fragrance Cartridge:Crisp Linen Fragrance Cartridge",21-50 (Standard)
dalmatianfireequipment,50,1.36,35.9,4.5,76.0,2.0,0.0,12.0,26.0,2.0,2.0,Product-Based (Mixed Inventory),24.7,Simple,"Total AvaTax, 08-NOTES:NOTE Tracking UPS, 10-OTHER CHARGES:Shipping -OUT US Except CO",21-50 (Standard)
marcatodirectlimited2,50,1.22,37.0,4.9,70.0,0.0,30.0,4.0,72.0,0.0,0.0,Inventory-Based (Physical Products),27.1,Simple,"DUTY:New Duty 75cL - 11.5%Vol. to 14.5% Vol., DUTY:New Duty 75cL - 11%Vol., DUTY:New Duty 75cL - 13%Vol.",21-50 (Standard)
jdshouseoftrophies,50,0.0,9.2,1.3,6.0,0.0,0.0,24.0,0.0,76.0,4.0,NonInventory-Based (Digital/Services),4.9,Ultra-Simple,"Plaque, Engraving-Laser, Trophy",21-50 (Standard)
autorescuetools,50,0.0,17.4,2.8,40.0,4.0,0.0,2.0,0.0,90.0,0.0,NonInventory-Based (Digital/Services),10.4,Ultra-Simple,"Shipping, Serial Number, Remote Programming",21-50 (Standard)
jafedecorating,50,0.02,9.7,1.1,60.0,0.0,0.0,0.0,16.0,78.0,4.0,NonInventory-Based (Digital/Services),13.1,Ultra-Simple,"Samples, Lot Charge, Print / Decal",21-50 (Standard)
acheerfulgiver,50,0.0,4.9,1.0,32.0,0.0,0.0,0.0,0.0,78.0,2.0,NonInventory-Based (Digital/Services),8.8,Ultra-Simple,"SHIP, DISC10, FEE-FAIRE",21-50 (Standard)
informedag3,50,0.74,44.7,6.8,6.0,20.0,66.0,22.0,64.0,12.0,6.0,Hybrid (Mixed),21.7,Simple,"Late fee, Installation - Products, Services - Ag Leader Product",21-50 (Standard)
integriturf2,50,1.08,33.4,4.1,0.0,22.0,98.0,2.0,90.0,8.0,2.0,Inventory-Based (Physical Products),28.1,Simple,"Artificial Grass:Cayman 84, Artificial Grass:Torrey Pines 75, Accessories:50LB BOX 6"" Electro-Galvanized Turf Nails",21-50 (Standard)
americanlithiumenergy2,50,0.86,25.6,2.3,30.0,2.0,84.0,8.0,46.0,46.0,2.0,Product-Based (Mixed Inventory),27.0,Simple,"Service:Services, Service:50% Deposit, S&H Charges",21-50 (Standard)
baconmail,50,0.12,24.5,3.3,92.0,12.0,6.0,0.0,22.0,0.0,0.0,Product-Based (Mixed Inventory),20.7,Simple,"E 78002-7, E 78013-3, Hummingbird 10016-0 Nectar",21-50 (Standard)
onwamarine2,50,1.06,29.6,3.6,18.0,2.0,92.0,0.0,0.0,100.0,4.0,NonInventory-Based (Digital/Services),27.8,Simple,"Shipping Cost, Others:Bank Charge, Spare Parts:Spare Parts",21-50 (Standard)
prionesource,47,0.45,23.9,2.6,0.0,0.0,0.0,17.0,44.7,38.3,6.4,Product-Based (Mixed Inventory),6.7,Ultra-Simple,"Freight, Forms (deleted):Custom (deleted), Forms.:Custom.",21-50 (Standard)
enzusainc,50,0.66,13.7,1.1,24.0,2.0,66.0,6.0,72.0,2.0,2.0,Inventory-Based (Physical Products),22.1,Simple,"Sub, Shipping, Freight",21-50 (Standard)
buddyventuresinternationalltd2,50,0.62,19.9,2.7,36.0,12.0,36.0,34.0,54.0,12.0,2.0,Hybrid (Mixed),20.1,Simple,"BR (deleted), x_Admin:Shipping B2B, CANADA:BB",21-50 (Standard)
americanbackcountry,50,0.0,9.5,1.2,44.0,0.0,0.0,0.0,0.0,94.0,2.0,NonInventory-Based (Digital/Services),10.6,Ultra-Simple,"SHIP, Tracking, AB INTERNET",21-50 (Standard)
fencetrac2,50,0.8,20.7,2.9,38.0,6.0,76.0,14.0,42.0,6.0,2.0,Product-Based (Mixed Inventory),27.0,Simple,"Customer Prepayment, Freight-10, NIL 2021:PC25F-BLK-NS",21-50 (Standard)
accurateforklift3,50,0.6,14.3,1.8,26.0,0.0,10.0,68.0,10.0,22.0,4.0,Service-Based,13.4,Ultra-Simple,"FUEL SURCHARGE, SHOP SUPPLIES, Rental",21-50 (Standard)
ftlenterprises,50,0.0,9.2,1.1,94.0,0.0,0.0,2.0,96.0,2.0,0.0,Inventory-Based (Physical Products),18.1,Ultra-Simple,"FREIGHT & INSURANCE, FTL10034CG, FTL10032CG",21-50 (Standard)
cappadociarugsllc,50,0.0,22.1,3.4,88.0,0.0,0.0,4.0,96.0,0.0,2.0,Inventory-Based (Physical Products),17.2,Ultra-Simple,"CREDIT CARD FEE, SHIPPING COST, Ephesus EPH-03 2'x3’",21-50 (Standard)
muleresophonicguitars,50,0.02,14.4,2.1,0.0,0.0,2.0,50.0,0.0,50.0,2.0,Hybrid (Mixed),4.4,Ultra-Simple,"Sales Tax, Deposit Credit, Pickup",21-50 (Standard)
greatnorthernfishcompanyincorporationdbano,50,0.0,4.1,1.1,8.0,0.0,0.0,0.0,92.0,2.0,0.0,Inventory-Based (Physical Products),5.2,Ultra-Simple,"1014, Total Cases, 165",21-50 (Standard)
wtidistributioninc,50,0.0,4.1,1.1,6.0,0.0,0.0,100.0,0.0,0.0,2.0,Service-Based,4.9,Ultra-Simple,"pp, DRAYAGE, cr",21-50 (Standard)
fbfnorthamerica,50,0.34,11.4,1.4,70.0,4.0,0.0,10.0,70.0,14.0,2.0,Product-Based (Mixed Inventory),17.2,Ultra-Simple,"Handling & Packaging, Shipping, Distributor Discount",21-50 (Standard)
wktrincdbafloridadocks,50,0.02,18.1,3.0,22.0,10.0,0.0,30.0,56.0,4.0,4.0,Hybrid (Mixed),8.4,Ultra-Simple,"Delivery and Freight, Installation Labor, FD2GalvPipe",21-50 (Standard)
halderinc,50,0.0,8.2,1.0,12.0,0.0,0.0,0.0,70.0,0.0,0.0,Product-Based (Mixed Inventory),5.8,Ultra-Simple,"SHIPPING CHARGE, 3026.060, 3377.050",21-50 (Standard)
flowmeasurementservices,50,0.24,20.8,2.6,6.0,0.0,24.0,40.0,0.0,60.0,6.0,NonInventory-Based (Digital/Services),10.1,Ultra-Simple,"Late fee, Daniel Measurement & Control:Daniel, Shipping and Freight",21-50 (Standard)
ambessenterprisesinc3,50,0.88,44.1,8.0,4.0,0.0,88.0,0.0,88.0,0.0,0.0,Inventory-Based (Physical Products),23.7,Simple,"OTP Tax, Ambess Wholesale Subtotal, Tracking - UPS",21-50 (Standard)
cbsi,3,0.0,13.0,1.3,33.3,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,5.2,Ultra-Simple,"HB47115, Subscription, International Report",1-5 (Ultra-Simple)
amariesbathflowershop3,50,0.0,5.9,1.1,0.0,0.0,0.0,0.0,0.0,78.0,0.0,NonInventory-Based (Digital/Services),4.0,Ultra-Simple,"Subtotal, L-GDG, Shipping Charges",21-50 (Standard)
rcswiftllc,50,0.0,5.3,1.1,2.0,0.0,0.0,4.0,90.0,0.0,4.0,Inventory-Based (Physical Products),4.3,Ultra-Simple,"Subtotal, Shipping, FREE SHIPPING",21-50 (Standard)
spatialgenomics3,50,0.02,29.3,3.8,4.0,0.0,0.0,18.0,0.0,80.0,4.0,NonInventory-Based (Digital/Services),4.7,Ultra-Simple,"Brain-seqFISH P1 (deleted), Tumor-seqFISH (deleted), Tumor SG Analysis Grant Reimbursement",21-50 (Standard)
qualityflooring,50,0.06,17.3,3.0,10.0,16.0,0.0,64.0,0.0,36.0,0.0,Service-Based,7.5,Ultra-Simple,"WRONG7, materials, T1 Tile Materials",21-50 (Standard)
southwestenvirotxpartnersllc,50,0.54,25.2,4.3,4.0,4.0,50.0,38.0,0.0,62.0,2.0,NonInventory-Based (Digital/Services),16.1,Ultra-Simple,"Cost of Sales:Freight, MD 20  SS (deleted), No Tax",21-50 (Standard)
hattrickdistributioninc,50,0.92,23.6,3.1,94.0,0.0,92.0,4.0,0.0,96.0,0.0,NonInventory-Based (Digital/Services),38.0,Simple,"*Shipping, PRODUCT:Exotic Indoor 3.5g, PRODUCT:BLUE ZLUSHIE",21-50 (Standard)
kinetictoolsinc,50,0.04,8.7,1.0,66.0,0.0,0.0,70.0,28.0,0.0,0.0,Service-Based,14.2,Ultra-Simple,"8888, Repair, 9999",21-50 (Standard)
farmtosummit,50,1.42,32.1,4.5,0.0,0.0,84.0,10.0,0.0,90.0,6.0,NonInventory-Based (Digital/Services),26.1,Simple,"Meals:Green Chile Mac and Cheese (6/Case), Meals:Thai Red Curry (6/Case), Meals:Garden Mac and Cheese (6/Case)",21-50 (Standard)
terrazaspecialties,17,0.88,32.8,4.7,23.5,5.9,82.4,11.8,17.6,70.6,5.9,NonInventory-Based (Digital/Services),23.7,Simple,"INV:Magnesium Stearate FCC Kosher (000913), INV:Calcium Stearate FCC Kosher (000719), DS:Urea 46% (in Kgs)",6-20 (Simple)
specialtechnicalservicesinc,50,0.94,21.4,2.2,44.0,24.0,66.0,2.0,14.0,34.0,2.0,Product-Based (Mixed Inventory),29.2,Simple,"Shipping & Handling, Circuit Board Assembly:CH-120, Grounding Unit:Single Point:G2LC25KA",21-50 (Standard)
steerintrailersales,50,0.76,17.8,2.0,98.0,0.0,74.0,20.0,58.0,20.0,0.0,Product-Based (Mixed Inventory),34.9,Simple,"LABOR, SHOP SUPPLIES, TRAILER ACCESSORY",21-50 (Standard)
uniquedesignsolutionsllc,50,0.7,25.9,2.6,58.0,0.0,70.0,24.0,44.0,2.0,0.0,Hybrid (Mixed),27.9,Simple,"FB_Item, Shipping Charges, Total AvaTax",21-50 (Standard)
vipsupplyco,50,0.0,8.3,1.1,86.0,0.0,0.0,92.0,8.0,0.0,0.0,Service-Based,16.9,Ultra-Simple,"FB_SALES_TAX, GN1029B, GN1028B",21-50 (Standard)
cggschmidt2,50,0.0,6.1,1.0,96.0,0.0,0.0,16.0,10.0,70.0,0.0,NonInventory-Based (Digital/Services),18.4,Ultra-Simple,"Shipping, CP102S, CP101S",21-50 (Standard)
topsecretcustoms,50,0.02,8.1,1.2,42.0,0.0,2.0,8.0,78.0,2.0,4.0,Inventory-Based (Physical Products),10.7,Ultra-Simple,"Shipping, 4PTA-6, Discount",21-50 (Standard)
getbold,50,0.0,7.1,1.3,32.0,4.0,0.0,24.0,0.0,76.0,0.0,NonInventory-Based (Digital/Services),9.2,Ultra-Simple,"t-shirt, Contract Printing, sweatshirt (deleted)",21-50 (Standard)
thierrylasry2,50,0.0,6.2,1.0,88.0,0.0,0.0,0.0,92.0,2.0,0.0,Inventory-Based (Physical Products),17.2,Ultra-Simple,"UPS, TOTAL QTY, UPS+",21-50 (Standard)
smokinggoose2,50,0.0,5.1,1.0,98.0,0.0,0.0,2.0,0.0,0.0,0.0,Product-Based (Mixed Inventory),18.7,Ultra-Simple,"FREIGHT, 11033, 11015",21-50 (Standard)
saveonlaser,50,0.0,8.3,1.1,90.0,2.0,0.0,4.0,82.0,14.0,2.0,Inventory-Based (Physical Products),17.7,Ultra-Simple,"Standard (deleted), CTN760, CTN850",21-50 (Standard)
aplpg3,50,0.0,7.3,1.0,78.0,6.0,0.0,0.0,94.0,0.0,0.0,Inventory-Based (Physical Products),16.3,Ultra-Simple,"Shipping, MEGR-1632-JFF-VG, ME60110",21-50 (Standard)
cumsausa,50,0.84,14.2,1.3,90.0,0.0,60.0,12.0,88.0,0.0,0.0,Inventory-Based (Physical Products),32.1,Simple,"Shipment/ UPS, Discount, Shipment/ FEDEX",21-50 (Standard)
vintagemakesllc,50,0.9,32.1,5.2,0.0,0.0,82.0,2.0,82.0,2.0,0.0,Inventory-Based (Physical Products),22.3,Simple,"Online Shipping Fee, Subtotal, Ma Excise Tax",21-50 (Standard)
kearfabrication,50,1.36,38.8,5.6,8.0,0.0,0.0,2.0,14.0,0.0,0.0,Product-Based (Mixed Inventory),14.3,Ultra-Simple,"Deposit - CDN, Freight & Duties Revenue - US, Deposit - US",21-50 (Standard)
tripdrip,50,1.64,55.4,7.6,8.0,10.0,38.0,0.0,98.0,2.0,0.0,Inventory-Based (Physical Products),22.8,Simple,"Other:Shipping, 3.5g Disposable:Blacked Out TNT Collection:Blacked Out - Ice Cream Cake - THCA, 2.5g Disposable:Zooters:Zooters - Blueberry Blast - 2.5g Disposable",21-50 (Standard)
thermolex,50,0.42,15.7,1.7,88.0,0.0,22.0,2.0,92.0,2.0,0.0,Inventory-Based (Physical Products),23.3,Simple,"FA7147, FA7158, Freight Charge",21-50 (Standard)
kaossoftwearllc,50,0.0,7.0,1.0,100.0,0.0,0.0,0.0,0.0,98.0,0.0,NonInventory-Based (Digital/Services),19.0,Ultra-Simple,"SKBK0G, SKBK00G, SKBK2G",21-50 (Standard)
elysianlabsllc3,50,0.02,27.5,3.1,4.0,82.0,2.0,0.0,0.0,100.0,0.0,NonInventory-Based (Digital/Services),13.2,Ultra-Simple,"Nilla Cake-60mls-3mg (deleted), Freight, Nilla Cake-60ml-6mg (deleted)",21-50 (Standard)
vcssalesanddistribution,50,0.0,17.7,1.8,66.0,12.0,0.0,8.0,0.0,92.0,0.0,NonInventory-Based (Digital/Services),15.1,Ultra-Simple,"Freight, INT-RS8O-L (deleted), INT-RS6-L (deleted)",21-50 (Standard)
rojascigarsllc,50,0.16,52.6,8.6,0.0,6.0,2.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),6.0,Ultra-Simple,"#120 Street Tacos Barbacoa, Toro 6x52  Sumatra 16ct box. (deleted), Breakfast tacos Maduro 4 1/2x44 Salomon 30ct bundle, Breakfast tacos Connecticut 4 1/2x50 Salomon 30ct bundle",21-50 (Standard)
siquesttechnologysdnbhd,50,0.88,37.4,4.4,28.0,30.0,82.0,0.0,12.0,88.0,0.0,NonInventory-Based (Digital/Services),29.4,Simple,"Disinfectants:Spor-klenz RTU, Alcohol Sanitizer:Inspec 70%IPA, Sterile 1L, Mopping Systems:PurMop EC40",21-50 (Standard)
foodsalive,50,0.24,26.2,5.1,4.0,74.0,8.0,0.0,8.0,2.0,0.0,Product-Based (Mixed Inventory),14.8,Ultra-Simple,"Merch./Advt.:Bus. Card - Retail Orders, FAS Nutritional Yeast 6 oz, FAC 4 oz Lemony Lemon Crisps",21-50 (Standard)
adkfragrancefarm,50,0.06,10.3,1.3,62.0,2.0,6.0,4.0,38.0,40.0,2.0,Product-Based (Mixed Inventory),14.8,Ultra-Simple,"freight, Misc - Wholesale, freightWS",21-50 (Standard)
iceworksbathco,50,0.02,9.1,1.9,0.0,2.0,0.0,94.0,4.0,2.0,2.0,Service-Based,4.3,Ultra-Simple,"Labor, Service, Sales",21-50 (Standard)
welshhottubs2,50,2.0,44.4,4.9,92.0,30.0,98.0,36.0,42.0,22.0,0.0,Hybrid (Mixed),48.8,Standard,"SPA CHEMICALS:TEST STRIPS:Insta 4-Way, SPA SERVICE:SPA REGULAR SERVICE:Spa service, POSTAGE:Delivery:Free P & P",21-50 (Standard)
blueridgescreenproducts,50,0.04,13.2,1.8,62.0,22.0,0.0,2.0,90.0,8.0,2.0,Inventory-Based (Physical Products),15.8,Ultra-Simple,"Misc, Restretch Screen, BRSP-DTF-HPR32",21-50 (Standard)
delmarvadesigncenter,50,1.0,19.6,1.4,0.0,2.0,98.0,0.0,0.0,100.0,0.0,NonInventory-Based (Digital/Services),25.6,Simple,"Misc:Deposits, Cabinets:Cabinets, Appliances:Other",21-50 (Standard)
lumienlighting,50,0.0,11.4,1.1,82.0,0.0,0.0,0.0,90.0,0.0,0.0,Inventory-Based (Physical Products),16.3,Ultra-Simple,"Shipping, Subtotal, Shipping Flat Fee",21-50 (Standard)
millibar,50,0.0,10.9,1.2,82.0,26.0,0.0,0.0,10.0,0.0,0.0,Product-Based (Mixed Inventory),18.9,Ultra-Simple,"Shipping and Handling Fee, Shipping & Handling, MTC-345-RS",21-50 (Standard)
lafittesseafood,50,0.26,21.9,4.0,2.0,44.0,0.0,4.0,80.0,16.0,0.0,Inventory-Based (Physical Products),10.4,Ultra-Simple,"Live Crawfish Sacks, Live Oyster Sack 100ct or 30lb SELECT, Snow Crab Clusters 10 oz 30lbs CASE",21-50 (Standard)
smuckerpelleting,45,0.07,15.2,2.3,2.2,0.0,0.0,33.3,22.2,0.0,2.2,Hybrid (Mixed),4.4,Ultra-Simple,"RYEGRASS Pellet, 8020 Pellets, Fescue Screenings",21-50 (Standard)
sterlinghardwareltd,50,0.08,21.9,3.6,96.0,40.0,0.0,2.0,98.0,0.0,0.0,Inventory-Based (Physical Products),22.9,Simple,"Freight, 10010BN ROUND HANDRAIL SS304, 35000MB WTG BRACKET SQUARE",21-50 (Standard)
retrocraft,48,0.81,27.1,3.4,12.5,0.0,75.0,31.2,0.0,68.8,0.0,NonInventory-Based (Digital/Services),22.4,Simple,"Embroidery:Embroidery - Logo, INVOICE, ADJUSTMENT",21-50 (Standard)
sawsolutionsinc,50,0.0,16.0,1.2,80.0,4.0,0.0,16.0,16.0,4.0,0.0,Product-Based (Mixed Inventory),16.4,Ultra-Simple,"Freight TPM, ZMISCSALES, ZLABOUR-AA",21-50 (Standard)
actionlighting,50,0.14,11.1,1.0,92.0,26.0,0.0,2.0,90.0,2.0,0.0,Inventory-Based (Physical Products),21.3,Simple,"Shipping, Discounts, 216SK-2248",21-50 (Standard)
