Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $,Reason_Clean,Category
Wonderfall,,"We used it for a year.  It worked. 

Thanks,  Tim",12.1,50.0,"We used it for a year.  It worked. 

Thanks,  Tim",Uncategorized
DrivenProducts,,"You guys are great!!!! We are upgrading to NetSuite and unfortunately can not take you with us. 

Keep up the good work!

-John @ DP",16.3,50.0,"You guys are great!!!! We are upgrading to NetSuite and unfortunately can not take you with us. 

Keep up the good work!

-John @ DP",Competitor Loss
GolfCartParts,,We just haven't been using it enough to justify the cost.  We could be back in the future as our business level dictates.,4.1,50.0,We just haven't been using it enough to justify the cost.  We could be back in the future as our business level dictates.,Price/Value
TraceID,,"International card charge, will look for a local US company",3.6,50.0,"International card charge, will look for a local US company",Uncategorized
SkinSake,,"Employees resignations, going different direction.",19.6,50.0,"Employees resignations, going different direction.",Competitor Loss
ProtektaInc,,"We haven't been utilizing, had several problems when trying to set up email reminders etc.",3.7,50.0,"We haven't been utilizing, had several problems when trying to set up email reminders etc.",Uncategorized
OrganicProductsMarketplace,,We never got any training on how to use it and we paid for it for over a year and a half and never were able to use it at all.,19.6,50.0,We never got any training on how to use it and we paid for it for over a year and a half and never were able to use it at all.,Uncategorized
gourmetelectronics,Not using their Method Account,"Does not use anymore. Only Mike left and he said, The business will be gone by the end of the year so please cancel my subscription.",62.7,50.0,"Does not use anymore. Only Mike left and he said, The business will be gone by the end of the year so please cancel my subscription.",Uncategorized
LoveHeals,,CRM is quite slow and cumbersome for our small company needs.,14.7,50.0,CRM is quite slow and cumbersome for our small company needs.,UX/UI Issues
FayetteTrailersLLC,Other - please specify,"New account already opened """"FAYETTETRAILERS"""" - Using Method:New",7.6,50.0,"New account already opened """"FAYETTETRAILERS"""" - Using Method:New",Uncategorized
Paulidezi,,We struggled with the many steps to get the contacts into Outlook.,16.5,50.0,We struggled with the many steps to get the contacts into Outlook.,Uncategorized
DeadRinger,,SLOWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW,13.0,50.0,SLOWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW,Performance Issues
ezryde,,Consolidation of multiple accounts.,17.1,50.0,Consolidation of multiple accounts.,Uncategorized
bosspac1,Other - please specify,No longer require the Method Integration software,34.8,50.0,No longer require the Method Integration software,Integration Issues
NupafeedUSA,,We aren't using enough of the features to justify $50 a month. We liked the software and will probably come back once it is something we would use more.,5.6,50.0,We aren't using enough of the features to justify $50 a month. We liked the software and will probably come back once it is something we would use more.,Feature Gaps
cmeinc,,We are a small company and we are going to use a product that is less expensive.,9.6,50.0,We are a small company and we are going to use a product that is less expensive.,Price/Value
qualityandassurancetechnology,Other - please specify,Will be discussing with customer over a call and updating. ,32.5,50.0,Will be discussing with customer over a call and updating.,Uncategorized
adellelouisediamonds,Not using their Method Account,"I am just not using it enough, as my business is still quite small and manageable with just Quickbooks for now.",4.3,49.0,"I am just not using it enough, as my business is still quite small and manageable with just Quickbooks for now.",Integration Issues
maximumsportptyltd,Difficult UI,Software requires too much input to keep up to date. ,34.3,49.0,Software requires too much input to keep up to date.,UX/UI Issues
ggb,Using another CRM Product,The system isn't quite what GGB needs. We were in need of a true ERP system.,51.1,49.0,The system isn't quite what GGB needs. We were in need of a true ERP system.,UX/UI Issues
hotsycleanllc,Using another CRM Product,Moved to an all inclusive plate,41.0,49.0,Moved to an all inclusive plate,Competitor Loss
elitecustomcanvasCo1,Difficult Workflows / Workflow Challenges,"There are a lot of little things that aggravate me about Method.
Don't want the extra expense.",28.6,49.0,"There are a lot of little things that aggravate me about Method.
Don't want the extra expense.",Uncategorized
floor13textiles,Not using their Method Account,I did not have the time to sit with it right now.,3.5,49.0,I did not have the time to sit with it right now.,Uncategorized
santexcorp,Not using their Method Account,"Your service is excellent -  however we no longer have a need for the service.
Thanks,
Lance",21.0,49.0,"Your service is excellent -  however we no longer have a need for the service.
Thanks,
Lance",Uncategorized
northgatecargocontrol,Not using their Method Account,"It did not work like we planned, wished we had just got the monthly plan because we were not refunded for most of the year  that we did not even use. So much for saving on the yearly plan. Your refund policy does not make sense",11.7,49.0,"It did not work like we planned, wished we had just got the monthly plan because we were not refunded for most of the year  that we did not even use. So much for saving on the yearly plan. Your refund policy does not make sense",Uncategorized
performancediamond,Other - please specify,We are not ready yet but enjoyed the trial.,1.9,49.0,We are not ready yet but enjoyed the trial.,Uncategorized
plusplususa,Other - please specify,Loved the Quickbooks integration...just didn't find it user friendly.  If Quickbooks sync is going to be a main feature - the layout should better mirror Quickbooks.  Needs a  customer  centric layout (rather than contact).,8.9,49.0,Loved the Quickbooks integration...just didn't find it user friendly.  If Quickbooks sync is going to be a main feature - the layout should better mirror Quickbooks.  Needs a  customer  centric layout (rather than contact).,Feature Gaps
AlphaOmegaSignsInc,Other - please specify,"Error in connecting with QBO,creating a new one. ",0.1,49.0,"Error in connecting with QBO,creating a new one.",Integration Issues
eternalfaze,Other - please specify, I am looking at using Method in the future but thats maybe about 2 to 3 years if all goes well.,0.3,49.0,I am looking at using Method in the future but thats maybe about 2 to 3 years if all goes well.,Uncategorized
huntercattledev,Duplicate Account,This was just the dev environment. I have created a live environment.,1.6,49.0,This was just the dev environment. I have created a live environment.,Uncategorized
acc81866,No longer using QuickBooks,"we are moving away from QB, there is nothing wrong with Method",7.7,49.0,"we are moving away from QB, there is nothing wrong with Method",Integration Issues
ozvehadar,Feature Gap,Does not support hebrew alphabet integration from quickboos,23.9,49.0,Does not support hebrew alphabet integration from quickboos,Integration Issues
buenaondagames,Other - please specify,"I like your product and think Harsh was excellent.  Here's the note I sent him:  Thanks for all you did.  We will come back around if our sales grow to the point where we can justify the expense.  I hope that day is soon but in this corona environment, I have to be cost sensitive.  I'll be in touch.",0.4,49.0,"I like your product and think Harsh was excellent.  Here's the note I sent him:  Thanks for all you did.  We will come back around if our sales grow to the point where we can justify the expense.  I hope that day is soon but in this corona environment, I have to be cost sensitive.  I'll be in touch.",Price/Value
hunternutrition,Other - please specify,"Method does the same reports that Quickbooks does. Also Method must be cloud based use to do the extra work (custom project) we wanted it to. That will make the procedure slower than we are now.

(He wants us to create custom reports in QuickBooks itself. Their internet it too slow to use a cloud base program to use Method instead).",1.0,49.0,"Method does the same reports that Quickbooks does. Also Method must be cloud based use to do the extra work (custom project) we wanted it to. That will make the procedure slower than we are now.

(He wants us to create custom reports in QuickBooks itself. Their internet it too slow to use a cloud base program to use Method instead).",Integration Issues
mbgourdsCo1,Not using their Method Account,"We found that we were not using the system enough to justify the cost. Great in theory, but didn't quite work for my team.",23.8,49.0,"We found that we were not using the system enough to justify the cost. Great in theory, but didn't quite work for my team.",UX/UI Issues
Crowne,Not using their Method Account,You didn't. I need to pause the software until I can get the team to use it.,22.8,49.0,You didn't. I need to pause the software until I can get the team to use it.,Uncategorized
tiresocksCo3,Integration Gap,Couldn't do what we needed it to do with our integrations.,20.3,49.0,Couldn't do what we needed it to do with our integrations.,Integration Issues
elradservicesltdCo1,Not using their Method Account,Our company is not using this feature for now.,41.1,49.0,Our company is not using this feature for now.,Feature Gaps
axesCo1,Difficult to Customize,"We have too many customizations to get the software we want. It's a great tool, I love the interface, but we have specific needs.",5.9,49.0,"We have too many customizations to get the software we want. It's a great tool, I love the interface, but we have specific needs.",Poor Customization
aghealthlabs,Other - please specify,Lack of payment processing integration options,0.1,49.0,Lack of payment processing integration options,Feature Gaps
OZLiftingProducts,Other - please specify,"Sure, we were hoping for greater integration with quickbooks – customer portals etc. that would not have to be a custom development scenario.

 ",0.3,49.0,"Sure, we were hoping for greater integration with quickbooks – customer portals etc. that would not have to be a custom development scenario.",Integration Issues
heatherandwhitemedicinestradingllc,Other - please specify,I dont see in it what am looking for ,0.0,49.0,I dont see in it what am looking for,Uncategorized
maric,Other - please specify,"Good evening Ayushi,

I’m sorry, but we are going to have to cancel.  The board decided to use another vendor.

Thank you so much for being attentive and cordial.

Paula",0.3,49.0,"Good evening Ayushi,

I’m sorry, but we are going to have to cancel.  The board decided to use another vendor.

Thank you so much for being attentive and cordial.

Paula",Uncategorized
hathorncorp,Other - please specify,Garbage product. Not a CRM if you can’t sort by company name without customization. Come on guys seriously. ,1.0,49.0,Garbage product. Not a CRM if you can’t sort by company name without customization. Come on guys seriously.,Poor Customization
jormanus,Not using their Method Account,It is not what our company needs.,12.9,49.0,It is not what our company needs.,Uncategorized
evomartltd,Not using their Method Account,"The software was fine, the issue is we have not been using it. We may come back this software in the future, however today its more than we need. ",3.0,49.0,"The software was fine, the issue is we have not been using it. We may come back this software in the future, however today its more than we need.",Uncategorized
snoodstore,Not using their Method Account,"You didn’t, just not for our needs",13.4,49.0,"You didn’t, just not for our needs",Uncategorized
cfsusa,Other - please specify,"wrong qb file, dup method account",14.5,49.0,"wrong qb file, dup method account",Integration Issues
semolinapasta,Other - please specify,"I can already tell that I won’t use it. I’m getting hung up on different parts of the UI, and I really dislike the Gmail integration. (I don’t like the Gmail experience to begin with, and usually use Apple Mail.)

I really appreciate your time.",0.0,49.0,"I can already tell that I won’t use it. I’m getting hung up on different parts of the UI, and I really dislike the Gmail integration. (I don’t like the Gmail experience to begin with, and usually use Apple Mail.)

I really appreciate your time.",Integration Issues
ecosafezwUSA,Other - please specify,Never really set up and running. Have new Marketing Manager who has selected a different CRM. ,9.0,49.0,Never really set up and running. Have new Marketing Manager who has selected a different CRM.,Competitor Loss
allboxes,Other - please specify,"Too difficult to use for our processes. The failure is on our end, not yours.",0.7,49.0,"Too difficult to use for our processes. The failure is on our end, not yours.",Too Complex/Clunky
passcontrols,Other - please specify,Moved to a different platform which better fit our needs.,28.0,49.0,Moved to a different platform which better fit our needs.,Competitor Loss
cottagefoodsyorkshireltdCo1,Difficult UI,Too expensive and clunky to use,23.3,49.0,Too expensive and clunky to use,Too Complex/Clunky
Rovebrand,Feature Gap,The tool does not meet our current requirements for a CRM,7.0,49.0,The tool does not meet our current requirements for a CRM,UX/UI Issues
xyzautomationinc,Not using their Method Account,Too much clutter from old jobs that pulled in from quickbooks,6.8,49.0,Too much clutter from old jobs that pulled in from quickbooks,Integration Issues
martinlevelling,Duplicate Account,Merging with Live marcatodirectlimited2,32.7,49.0,Merging with Live marcatodirectlimited2,Uncategorized
intercountyofficesuppliesltd,Other - please specify,I was looking for a usable CRM . Tis is just a different window for QBO.  There is no way of choosing what is integrated and no way to remove unwanted items.  ,0.0,49.0,I was looking for a usable CRM . Tis is just a different window for QBO.  There is no way of choosing what is integrated and no way to remove unwanted items.,Integration Issues
rinsesoap,Not using their Method Account,"Honestly, it was not as helpful as we had hoped. It was not as easy to use and useful as we'd been led to believe.",21.7,49.0,"Honestly, it was not as helpful as we had hoped. It was not as easy to use and useful as we'd been led to believe.",Uncategorized
cyroninc,Other - please specify,"Hi Ayushi,

 

I decided on another CRM. You can stop the subscription period. Thank you for the demo.",0.9,49.0,"Hi Ayushi,

 

I decided on another CRM. You can stop the subscription period. Thank you for the demo.",Competitor Loss
IncredibleBulkCRM,Other - please specify,"No one let me down!  You guys are awesome!
",0.0,49.0,No one let me down!  You guys are awesome!,Uncategorized
plytech,Not using their Method Account,Circumstances changed in our business and we now do not have a sales team.,18.4,49.0,Circumstances changed in our business and we now do not have a sales team.,Uncategorized
lealanddistributorsCo1,Not using their Method Account,We are not using the CRM and may revisit at a different time.,11.2,49.0,We are not using the CRM and may revisit at a different time.,Uncategorized
synecosystemstest,Other - please specify,The time it would take to customize to our needs. Did not like the fact that you could not exclude vendors from the synchronization process.,4.3,49.0,The time it would take to customize to our needs. Did not like the fact that you could not exclude vendors from the synchronization process.,Poor Customization
boninfantefriction,Not using their Method Account,Our remote team is not using it as intended and we are not regularly syncing it with QB,4.6,49.0,Our remote team is not using it as intended and we are not regularly syncing it with QB,Integration Issues
lynchbiologics,Not using their Method Account,Please cancel our subscription. We are not using Method.,12.2,49.0,Please cancel our subscription. We are not using Method.,Uncategorized
midamericatrailermfgllc,Unhappy with mobile/performance/speed,It was too glitchy. Had more down time than time that it worked.,18.9,49.0,It was too glitchy. Had more down time than time that it worked.,Uncategorized
triplenikel,Not using their Method Account,We ended up not using the application.,3.9,49.0,We ended up not using the application.,Uncategorized
k2carbidellc,Other - please specify,dup - Kari called in regarding payment email.,1.0,49.0,dup - Kari called in regarding payment email.,Uncategorized
juliodesigns,Not using their Method Account,We do not have a use for it anymore. ,23.9,49.0,We do not have a use for it anymore.,Uncategorized
circlethreedesigns,Other - please specify,Please remove me from your mailing list and cancel my account.,0.8,49.0,Please remove me from your mailing list and cancel my account.,Uncategorized
PhreshP,Other - please specify,"In need of good CRM asnd get sales rep out of quickbooks. Hwever, we do not have the time right now to invest in the development of the system.",4.3,49.0,"In need of good CRM asnd get sales rep out of quickbooks. Hwever, we do not have the time right now to invest in the development of the system.",Integration Issues
awninghawaiillc,Other - please specify,"feels clunky, would like native integration with IOS calendar ",0.1,49.0,"feels clunky, would like native integration with IOS calendar",Too Complex/Clunky
easybutterllc,Other - please specify,"not being used. Not using another CRM, just QB at this time. ",11.8,49.0,"not being used. Not using another CRM, just QB at this time.",Competitor Loss
lesbijoux,Other - please specify,Program does not function as intended.,6.0,49.0,Program does not function as intended.,Uncategorized
rosegemshop,Other - please specify,Im not interested. Ive asked to be removed from email list. ,0.9,49.0,Im not interested. Ive asked to be removed from email list.,Uncategorized
norwesthydraulic2,Not using their Method Account,Non-Payment - Customer Last Logged in 2 months ago,25.0,49.0,Non-Payment - Customer Last Logged in 2 months ago,Uncategorized
montysplantfood2,No longer using QuickBooks,We are changing accounting systems and moving from QuickBooks.,29.9,49.0,We are changing accounting systems and moving from QuickBooks.,Integration Issues
KingMachineryInc,Not using their Method Account,It just wasn't what we were looking for.,7.0,49.0,It just wasn't what we were looking for.,Uncategorized
walkertapecoCo2,Other - please specify,"Our file was corrupt. 

Every time we started a sync, it would cause our quickbooks file to crash. It was happening at the same unit of measure every time.  We discovered that the file would crash if we opened that unit of measure in quickbooks as well, even when we were not trying to sync. 

We need to figure out how to repair our file before we can do anything with the tool. ",1.0,49.0,"Our file was corrupt. 

Every time we started a sync, it would cause our quickbooks file to crash. It was happening at the same unit of measure every time.  We discovered that the file would crash if we opened that unit of measure in quickbooks as well, even when we were not trying to sync. 

We need to figure out how to repair our file before we can do anything with the tool.",Integration Issues
lauralhome20,Other - please specify,Corrupted QB file - Already marked as exception.,1.0,49.0,Corrupted QB file - Already marked as exception.,Integration Issues
omegatrovellc,Other - please specify,"Customer requested to be unsubscribed multiple times  through chat.

Followed up and cancelling account.

Awaiting feedback. ",0.9,49.0,"Customer requested to be unsubscribed multiple times  through chat.

Followed up and cancelling account.

Awaiting feedback.",Uncategorized
spkassociatescorp,Other - please specify,accidently created this account,0.1,49.0,accidently created this account,Uncategorized
north42sales4,Service / Support / Help Center,You have a good product. The problem is you don't listen to customers.,6.6,49.0,You have a good product. The problem is you don't listen to customers.,Uncategorized
oceanshipyardlimited,Other - please specify,We’ve moved away from Quickbooks Online as it didn’t offer us what we needed.,2.0,49.0,We’ve moved away from Quickbooks Online as it didn’t offer us what we needed.,Integration Issues
eosremediation,Using another CRM Product,EOS Remediation was acquired by another firm who uses an alternate CRM system.,20.1,49.0,EOS Remediation was acquired by another firm who uses an alternate CRM system.,UX/UI Issues
msecinc3,"Failure to adopt, train, and engage CRM users",We did not use the system as we thought we would.,28.2,49.0,We did not use the system as we thought we would.,Uncategorized
artboards2,Other - please specify,We are not able to work with it at this time and we are in the process of revamping our set business setup.,1.7,49.0,We are not able to work with it at this time and we are in the process of revamping our set business setup.,Onboarding Failed
unifiedsupply2,"Failure to adopt, train, and engage CRM users",Was unable to provide data from MRP that would make this CRM useful.,18.0,49.0,Was unable to provide data from MRP that would make this CRM useful.,Feature Gaps
peteralbrecht,Other - please specify,"Software seemed well thought out. I tried because I thought we were going o switch from Sage 50 to QuickBooks, but we are not. I no longer am in the market for QB integration.",4.9,49.0,"Software seemed well thought out. I tried because I thought we were going o switch from Sage 50 to QuickBooks, but we are not. I no longer am in the market for QB integration.",Competitor Loss
turbofinish,Using an Industry Specific Product,"A little too complicated, I found another solution built specifically for my business. ",19.0,49.0,"A little too complicated, I found another solution built specifically for my business.",Too Complex/Clunky
jtfrank11,Other - please specify,"You didn't.  I created this for a new position, then we ended up eliminating the position.  Method was great and I'd use again if needed in the future.  I'll miss Errol!",3.9,49.0,"You didn't.  I created this for a new position, then we ended up eliminating the position.  Method was great and I'd use again if needed in the future.  I'll miss Errol!",Uncategorized
twoleavesandabud,,"On the good side for Method:
- LOVE that it is totally QB driven. It is clear who is and is not a customer.
- Really appreciate that it is a company with whom we had a human being as a contact. And one person. With a name. Who knew what the system did and did not do and was totally clear about it, did not fumfuh or BS.
 
On the negative side (things that are fixable):
- The interface was not totally clear to us as users. How do simply create a user-specific list of contacts, to-do’s, etc., was not clear to us.
 - The lack of a strong interface with Outlook. At least a bcc to Method would have made Method a possibility for us.
 
On the negative side (things that are beyond your control)
- Our users have used salesforce before so it was not “ugh, another new thing?!”
- Salesforce is a highly developed product so it has the outlook interface, the QB link, yada yada. I felt that we were moving to the industry standard, a more defensible decision to my team. (I view our team as my “board of directors” in this.”
 
I really wish you guys all the best and hope you keep building out a great system. It could easily be that we use it for another of our companies in the future.",3.0,49.0,"On the good side for Method:
- LOVE that it is totally QB driven. It is clear who is and is not a customer.
- Really appreciate that it is a company with whom we had a human being as a contact. And one person. With a name. Who knew what the system did and did not do and was totally clear about it, did not fumfuh or BS.
 
On the negative side (things that are fixable):
- The interface was not totally clear to us as users. How do simply create a user-specific list of contacts, to-do’s, etc., was not clear to us.
 - The lack of a strong interface with Outlook. At least a bcc to Method would have made Method a possibility for us.
 
On the negative side (things that are beyond your control)
- Our users have used salesforce before so it was not “ugh, another new thing?!”
- Salesforce is a highly developed product so it has the outlook interface, the QB link, yada yada. I felt that we were moving to the industry standard, a more defensible decision to my team. (I view our team as my “board of directors” in this.”
 
I really wish you guys all the best and hope you keep building out a great system. It could easily be that we use it for another of our companies in the future.",Competitor Loss
seastonesinc,Difficult Workflows / Workflow Challenges,"I feel like there are too many places to enter information - it doesn't feel streamlined.  Enter customer data, create an opportunity, then create an activity and all the follow up after performing the activity.",17.6,49.0,"I feel like there are too many places to enter information - it doesn't feel streamlined.  Enter customer data, create an opportunity, then create an activity and all the follow up after performing the activity.",Uncategorized
youcopia,Not using QuickBooks Desktop,We switched to a new ERP system. No longer use Quickbooks,55.0,49.0,We switched to a new ERP system. No longer use Quickbooks,Competitor Loss
hamptonclosetcompanyinc1,Other - please specify,i dont use it. not a good fit for what he is doing now. ,15.9,49.0,i dont use it. not a good fit for what he is doing now.,Uncategorized
galensway,No time / strategy to implement,"you did not, application is not ultimately needed currently",6.1,49.0,"you did not, application is not ultimately needed currently",Uncategorized
gecko15,Other - please specify,"Have been sitting on this for a year and have not had a chance to really set things up.  Hope to be back in future when I can breath a little.  Probably a winter project.

thx
Mike
",10.1,49.0,"Have been sitting on this for a year and have not had a chance to really set things up.  Hope to be back in future when I can breath a little.  Probably a winter project.

thx
Mike",Uncategorized
soderlundswoodmillinc,Other - please specify,"the product is great.. just ended up not needing method once I fully understood how to use classes and reports within QBO.
If our need for Method returns, I will be back.",3.1,49.0,"the product is great.. just ended up not needing method once I fully understood how to use classes and reports within QBO.
If our need for Method returns, I will be back.",Integration Issues
johnsmanville,Other - please specify,No longer interested  - please delete account,0.9,49.0,No longer interested  - please delete account,Uncategorized
nationalkitchensbathsandmore,Other - please specify,Switching to QBO instead of QBD,0.4,49.0,Switching to QBO instead of QBD,Competitor Loss
bdavidlevine,Other - please specify,They do not want to connect their Method with their QB file.,0.2,49.0,They do not want to connect their Method with their QB file.,Integration Issues
corsacontrols,Using QuickBooks Only (no other app),"Worked fine, but reason to use was quickbooks didn't have form customization.  They do now so it's much easier to only deal with one program.",8.2,49.0,"Worked fine, but reason to use was quickbooks didn't have form customization.  They do now so it's much easier to only deal with one program.",Poor Customization
mccormickupholstery,Other - please specify,Not using the system. Account did not do a demo or free hour.,5.6,49.0,Not using the system. Account did not do a demo or free hour.,Uncategorized
circuitdesignspecialtiesinc,Other - please specify,Please delete my account. I found the solution I needed,1.0,49.0,Please delete my account. I found the solution I needed,Uncategorized
goforservicesinc,Other - please specify,I was able to get my current software to do what i needed.,0.4,49.0,I was able to get my current software to do what i needed.,Uncategorized
doeandfawncoffeeroasters,Other - please specify,Just too expensive for what I use it for,1.8,49.0,Just too expensive for what I use it for,Price/Value
candmoutdoorgear,Other - please specify,"It was helpful to a point. However, there is just soo much of the app that I don't have a use for, it became more of a problem than a solution. ",0.4,49.0,"It was helpful to a point. However, there is just soo much of the app that I don't have a use for, it became more of a problem than a solution.",Uncategorized
krauseaircoinc,Other - please specify,Your software does not do what we need it to unfortunately. ,1.0,49.0,Your software does not do what we need it to unfortunately.,Uncategorized
compositepaneltechnologies,Other - please specify,"I did not realize that you need Quickbooks in order to use Method so I deleted my account…or so I thought. Can you please remove me from future emails and my account also? Thank you!!

",0.5,49.0,I did not realize that you need Quickbooks in order to use Method so I deleted my account…or so I thought. Can you please remove me from future emails and my account also? Thank you!!,Integration Issues
PerFuel,Other - please specify,I am cancelling my subscription with Method. This tool….we are not able to use it effectively at this time.,5.0,49.0,I am cancelling my subscription with Method. This tool….we are not able to use it effectively at this time.,Uncategorized
cstoredistribution,Other - please specify,"Moved more towards ecommerce, we don't do product delivery anymore. Don't find a use for Method:CRM",6.1,49.0,"Moved more towards ecommerce, we don't do product delivery anymore. Don't find a use for Method:CRM",Uncategorized
wakanine,Other - please specify,This was a trial account that user never activated. User no longer interested in Method and keep getting email to update the account which I need to close,1.8,49.0,This was a trial account that user never activated. User no longer interested in Method and keep getting email to update the account which I need to close,Uncategorized
sandsocks,Not using their Method Account,Cost and reality of what you get for it. ,3.0,49.0,Cost and reality of what you get for it.,Price/Value
windowdistributors,Other - please specify,"Not Interested.

--------

Customer came to Method looking for the ability to automate emails primarily based on Opportunity Stages. 

They manage two lines of business that do flooring & windows.

There was a need to leverage purchase transactions together in their workflow to keep track of purchases & inventory. ",0.5,49.0,"Not Interested.

--------

Customer came to Method looking for the ability to automate emails primarily based on Opportunity Stages. 

They manage two lines of business that do flooring & windows.

There was a need to leverage purchase transactions together in their workflow to keep track of purchases & inventory.",Uncategorized
waynepharmaceuticals,Other - please specify,"Hello, We have used this account and have no need for it at this time.",1.2,49.0,"Hello, We have used this account and have no need for it at this time.",Uncategorized
acc85304,Not using their Method Account,"Didn't seem like the right fit at this time, we were not ready to make the jump.  Might re-evaluate again in a few months.",2.0,49.0,"Didn't seem like the right fit at this time, we were not ready to make the jump.  Might re-evaluate again in a few months.",Uncategorized
highfillcustomwoodworks,Other - please specify,"Creating an estimate in Method is extremely lacking.  yes, it pulls the item list from Quickbooks, but the groups and subtotals and % on those subtotals does not appear to work the same.  I absolutely must have an estimate that transfers into QB seamlessly when a contract is signed.  I progress invoice against the estimate.  I also use an over-arching group on every estimate, as I do not reprint the details of the estimate for the customer (my contracts are lump sum, they only see one number and no details of what goes into that number).  

Also, Method seems to be lacking for tracking project life cycle.  ",0.1,49.0,"Creating an estimate in Method is extremely lacking.  yes, it pulls the item list from Quickbooks, but the groups and subtotals and % on those subtotals does not appear to work the same.  I absolutely must have an estimate that transfers into QB seamlessly when a contract is signed.  I progress invoice against the estimate.  I also use an over-arching group on every estimate, as I do not reprint the details of the estimate for the customer (my contracts are lump sum, they only see one number and no details of what goes into that number).  

Also, Method seems to be lacking for tracking project life cycle.",Integration Issues
transafe,Not using their Method Account,my fault -  never took the time to  learn the system,9.6,49.0,my fault -  never took the time to  learn the system,Uncategorized
isfwatchkeeper,Not using their Method Account,You didn't.. Just not what I'm looking for right now.. more functionality than I need,1.7,49.0,You didn't.. Just not what I'm looking for right now.. more functionality than I need,Feature Gaps
thortrailers941,Other - please specify,It just does not work for me.  Thank you,0.1,49.0,It just does not work for me.  Thank you,Uncategorized
dandenongtimberhardwareptyltdCo1,Not using their Method Account,Its doesnt suit to our business.,1.4,49.0,Its doesnt suit to our business.,UX/UI Issues
clearblast,Other - please specify,The system worked well but we ultimately decided we didn't want a CRM that gave our sales people access to our accounting software.,1.1,49.0,The system worked well but we ultimately decided we didn't want a CRM that gave our sales people access to our accounting software.,Uncategorized
aquacansystems,Other - please specify,Thanks for letting us trying the method platform. It seems that it will be more expensive than we thought to implement and make some customization to fit our needs. We may look into it again in the future. Thanks again and we wish you continued growth and success.,0.1,49.0,Thanks for letting us trying the method platform. It seems that it will be more expensive than we thought to implement and make some customization to fit our needs. We may look into it again in the future. Thanks again and we wish you continued growth and success.,Poor Customization
sankoshausainc1901,Other - please specify,"Hello, 

I wish to cancel the trial at this time, due to the fact we have some cleaning up on our Quick Books to do before we could considering syncing with Method.  We will revisit at a later time.

Thank you and we hope to connect soon.

Mike Tungesvick",1.5,49.0,"Hello, 

I wish to cancel the trial at this time, due to the fact we have some cleaning up on our Quick Books to do before we could considering syncing with Method.  We will revisit at a later time.

Thank you and we hope to connect soon.

Mike Tungesvick",Integration Issues
icpakcoCo1,"Failure to adopt, train, and engage CRM users","Jayson and his team had 2 areas of feedback and frustration. sync and customer service. 

Sync conflicts were an overall and ongoing pain point and  became a major area of frustration for their users. 

This is compounded by the notion that Jayson and his team were not aware of any available resource for training, support or customizations. 

They mentioned some touch points after their initials subscription would have gone a long way. 

I have assured Jayson, that our onboarding experience today would align far better with his expectations",50.9,49.0,"Jayson and his team had 2 areas of feedback and frustration. sync and customer service. 

Sync conflicts were an overall and ongoing pain point and  became a major area of frustration for their users. 

This is compounded by the notion that Jayson and his team were not aware of any available resource for training, support or customizations. 

They mentioned some touch points after their initials subscription would have gone a long way. 

I have assured Jayson, that our onboarding experience today would align far better with his expectations",Poor Customization
YAKANDYETIFASHION,Not using their Method Account,I have not been able to use it.I am just paying fee for no use,6.2,49.0,I have not been able to use it.I am just paying fee for no use,Uncategorized
legitshipcbd,Duplicate Account,Ready to move forward with their QBDT database - this was a QBO trial,1.7,49.0,Ready to move forward with their QBDT database - this was a QBO trial,Integration Issues
BETAGNorthAmerica,Feature Gap,"The integration with QB is great but the need to align contacts, customers and leads at the outset makes it cumbersome to use.",13.5,49.0,"The integration with QB is great but the need to align contacts, customers and leads at the outset makes it cumbersome to use.",Integration Issues
compounddesign2,"Failure to adopt, train, and engage CRM users",I was only using the service to allow customers to pay online through the portal and I couldn't get one customer to use it.,5.9,49.0,I was only using the service to allow customers to pay online through the portal and I couldn't get one customer to use it.,Uncategorized
linkasink,Other - please specify,"For my simple client contact management requirement, this is much more than I need.",1.4,49.0,"For my simple client contact management requirement, this is much more than I need.",UX/UI Issues
waynepharma,Not using their Method Account,We don’t have any use for the system at this time,10.7,49.0,We don’t have any use for the system at this time,Uncategorized
rebelsports,Other - please specify,"Still in the process of setting up QBDT Enterprise. This account is connected to a test QBDT File. 

Working with Jeff White on QB set-up. Will be back once QB is fully set-up 

Demo note:
Account was referred by Jeff White. 

They are still at early stage of switching over to QBD Enterprise. 

Next Step  for them - Set-up QBD with Jeff
Link QBD with Method:CRM

Schedule a Second Demo.

",1.0,49.0,"Still in the process of setting up QBDT Enterprise. This account is connected to a test QBDT File. 

Working with Jeff White on QB set-up. Will be back once QB is fully set-up 

Demo note:
Account was referred by Jeff White. 

They are still at early stage of switching over to QBD Enterprise. 

Next Step  for them - Set-up QBD with Jeff
Link QBD with Method:CRM

Schedule a Second Demo.",Competitor Loss
