Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $
whclenterprises,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
whclenterprises2",0.1,49.0
ammoelectric,Not using their Method Account,.,8.3,49.0
jtfrank11,Other - please specify,"You didn't.  I created this for a new position, then we ended up eliminating the position.  Method was great and I'd use again if needed in the future.  I'll miss Errol!",3.9,49.0
sterlingtonmedical,Other - please specify,"Churn Exception Reason: 
Duplicate Account
Other Account:
safetymed2",1.9,49.0
twoleavesandabud,,"On the good side for Method:
- LOVE that it is totally QB driven. It is clear who is and is not a customer.
- Really appreciate that it is a company with whom we had a human being as a contact. And one person. With a name. Who knew what the system did and did not do and was totally clear about it, did not fumfuh or BS.
 
On the negative side (things that are fixable):
- The interface was not totally clear to us as users. How do simply create a user-specific list of contacts, to-do’s, etc., was not clear to us.
 - The lack of a strong interface with Outlook. At least a bcc to Method would have made Method a possibility for us.
 
On the negative side (things that are beyond your control)
- Our users have used salesforce before so it was not “ugh, another new thing?!”
- Salesforce is a highly developed product so it has the outlook interface, the QB link, yada yada. I felt that we were moving to the industry standard, a more defensible decision to my team. (I view our team as my “board of directors” in this.”
 
I really wish you guys all the best and hope you keep building out a great system. It could easily be that we use it for another of our companies in the future.",3.0,49.0
seastonesinc,Difficult Workflows / Workflow Challenges,"I feel like there are too many places to enter information - it doesn't feel streamlined.  Enter customer data, create an opportunity, then create an activity and all the follow up after performing the activity.",17.6,49.0
choice3,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
choice2",0.1,49.0
qthetailorbespokeclothiers,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
qthetailorbespokeclothiers2",0.1,49.0
youcopia,Not using QuickBooks Desktop,We switched to a new ERP system. No longer use Quickbooks,55.0,49.0
nexusmarketingservices,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
nexusmarketingservices2",0.4,49.0
hamptonclosetcompanyinc1,Other - please specify,i dont use it. not a good fit for what he is doing now. ,15.9,49.0
trioniccorp,Other - please specify,Duplicate account: trioniccorp2,1.0,49.0
chadwickoptical,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
chadwickoptical2",0.1,49.0
ctwinternational,Not using their Method Account,We were not using the account,29.1,49.0
afapparels2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
afapparels",0.3,49.0
techformadvancedcasting,Other - please specify,Not ready at the moment,1.6,49.0
naturadif2,Duplicate Account,Churn Exception Reason: Duplicate AccountOther Account:naturadif3,1.0,49.0
anter,Other - please specify,Opted for a different CRM,0.2,49.0
spkassociatescorp,Other - please specify,accidently created this account,0.1,49.0
galensway,No time / strategy to implement,"you did not, application is not ultimately needed currently",6.1,49.0
heartrateinc,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
heartrateinc2",0.4,49.0
soderlundswoodmillinc,Other - please specify,"the product is great.. just ended up not needing method once I fully understood how to use classes and reports within QBO.
If our need for Method returns, I will be back.",3.1,49.0
autodetailingmm,Other - please specify,Not leveraging the benefits.,11.5,49.0
johnsmanville,Other - please specify,No longer interested  - please delete account,0.9,49.0
alconlightinginc,Other - please specify,They moved to Sales Force,0.5,49.0
nationalkitchensbathsandmore,Other - please specify,Switching to QBO instead of QBD,0.4,49.0
larrysbootfitting,Other - please specify,They use QB POS,0.1,49.0
bdavidlevine,Other - please specify,They do not want to connect their Method with their QB file.,0.2,49.0
mapa,Not using their Method Account,.,2.4,49.0
honeylabsllc2,Not using their Method Account,you didnt.,42.8,49.0
corsacontrols,Using QuickBooks Only (no other app),"Worked fine, but reason to use was quickbooks didn't have form customization.  They do now so it's much easier to only deal with one program.",8.2,49.0
agrilacinc3,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
agrilacinc",0.4,49.0
mccormickupholstery,Other - please specify,Not using the system. Account did not do a demo or free hour.,5.6,49.0
acenet,Other - please specify,Not a right fit,0.3,49.0
circuitdesignspecialtiesinc,Other - please specify,Please delete my account. I found the solution I needed,1.0,49.0
spiritandsoledesignsllc,Difficult Workflows / Workflow Challenges,We don't really use it.,12.4,49.0
goforservicesinc,Other - please specify,I was able to get my current software to do what i needed.,0.4,49.0
doeandfawncoffeeroasters,Other - please specify,Just too expensive for what I use it for,1.8,49.0
candmoutdoorgear,Other - please specify,"It was helpful to a point. However, there is just soo much of the app that I don't have a use for, it became more of a problem than a solution. ",0.4,49.0
krauseaircoinc,Other - please specify,Your software does not do what we need it to unfortunately. ,1.0,49.0
compositepaneltechnologies,Other - please specify,"I did not realize that you need Quickbooks in order to use Method so I deleted my account…or so I thought. Can you please remove me from future emails and my account also? Thank you!!

",0.5,49.0
khaleejna,Other - please specify,This is duplicate. Original is: khaleejnatradingwll2,0.6,49.0
napanuts4,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
napanuts3",0.4,49.0
triko,Other - please specify,Not actively using.,4.4,45.0
elitemedicalllc,,Your product never worked with Outlook 365.  No need to keep us updated on your product.,11.0,45.0
snapnutrition,,We don't use the service anymore. ,11.0,45.0
jsaw,,moved to donor perfect,11.6,45.0
whatic2inc,,can't afford,3.6,45.0
mosaictileusa2,,its actually too robust for my purposes and the monthly is not worth the expense for what I use it for,5.5,45.0
ladistributing,,Method was not streamlining the sales process. It was actually making it more difficult. ,13.4,45.0
isolationdoorcaddy,,Using Quickbooks to collect customer information.  We did not experience any issues with Method and your customer service reps were first class!,4.6,45.0
namelesscateringcompany1,Other - please specify,Have decided to use another product. ,20.2,45.0
ppeengineering,,I don't use enough for the cost.  ,16.2,45.0
tenacoretest,,"This was a test account.  Real on is still live. Thanks,",3.0,45.0
corganics,,We are not effectively using Method at this time. We may reconsider in the future.,12.9,45.0
CCTVandDigitalAccessSolutionsLtd,,"Due to being poor service and attitude from Method staff when requesting to upgrade to new method platform - and being told that we would have to pay again to have our templates re-introduced when we've been a loyal customer for several years - simply felt the customer service was sub-standard and we were not valued as a client (we accept fully that we are a tiny customer so probably not very important, but feel that any customer regardless of size should be treated with courtesy and respect) - so I have decided to move our business to another supplier of cloud based CRM services instead.",30.9,45.0
baremanagement,Sold Business / Closing Company,Closing down the business,93.4,45.0
portablesink,Other - please specify,too expensive  ,24.6,45.0
pinellaschocolate,,Other,1.2,45.0
fuzzu,Other - please specify,Non Payment,31.9,45.0
deadpresidentseliquid,,Company sold,2.8,45.0
dedicated,,Your quickbooks integration is excellent but we found another provider.,33.0,45.0
nextdoorfloorandmore,,Other,2.0,45.0
tidalvisioninc1,,have to,5.1,45.0
ricksroasterscoffeecompanyllc,,"Our sales staff is not at the point where the $45 monthly fee per license is worth it for us.  We were interested when we thought it was only $25 but to have all sales people have an account and to have the functionality we want, it was going to be hundreds of dollars.  We don't have that in our budget.",2.7,45.0
ccinc,,We aren't ready to proceed with this.,10.1,45.0
deraindustries,,I had tons of trouble getting the gmail gadget to function. I needed to move on to an easier solution.,6.0,45.0
medproinc1,,no predictive dialer for leads,8.0,45.0
raptorworkholding,Other - please specify,Office is closing down - Will no longer need a CRM,6.9,45.0
medicalairsystems,,We needed something much smaller and less involved.  This would taken too much of our time away from sales.  ,3.0,45.0
offroadtrackchair,,The service is not necessary to my business. We never made use of it.,8.0,45.0
keyko,,No longer needed.,6.8,45.0
usnetting,,moving to a different QB account,2.8,45.0
trianglechemicalcompany,Not using their Method Account,Not using much!,90.3,45.0
cmisales,Sold Business / Closing Company,closing the business,86.0,45.0
rhinorugby,Other - please specify,We no longer are testing or using Method.me,35.0,45.0
rtdake,Not using their Method Account,Did not use,72.0,45.0
gollatechinc,Other - please specify,"No problem, just using Odoo for a number of other accounts",21.9,45.0
buyartemis,,other service,12.3,45.0
virtualsuper,,waste of money,23.0,45.0
atemceramics,Other - please specify,"""Please cancel our Method CRM subscription. Unfortunately, it does not meet our needs and we will be unable to use it.""",2.0,45.0
mavpak1,Other - please specify,Laura found Method not to be user friendly - they weren't able to scroll through opportunities easily and things were taking longer than they were when they used to use excel.,4.4,45.0
ans,,I am not using your service simply because I do not have time. It certainly does fit my need but not enough hours in the day,7.6,45.0
huntertaylorsupply,,"We need to be able to adjust sales prices by """"Gross Margin Percentage"""" instead of mark-up.  We obtained an additional license for QuickBooks Desktop eliminating the need for a more mobile platform.",4.3,45.0
oxytrading668,,I didn’t receive adequate service or support from Method,1.7,45.0
entropytechnologydesigninc1,,Financially our company is not in position to continue.,7.0,45.0
tenacore2,,I asked to cancel this last year and still I am getting invoiced.  This is wrong.  Please cancel immediately. ,10.1,45.0
shelleydmmi,,Have anothe file set up that is being customized by Method now,9.7,45.0
iids,,Method was difficult to use and learn,1.6,45.0
coastalhome,,Other,1.5,45.0
arkramos,Not using their Method Account,We don't need the service.,57.6,45.0
tslclubsharedamenities,,I experienced technical issues with Method ,1.7,45.0
sunbeamglobalinc,Other - please specify,Changed Quickbook files. ,18.9,45.0
ecocomfortcollection,Other - please specify,don't need it anymore. ,17.8,45.0
mddlc,Other - please specify,Do not use it.,49.3,45.0
cldirectllc,Other - please specify,Customer request - no details given,13.9,45.0
filterpumperllc,Other - please specify,not really using it.,24.1,45.0
whitecapsdippindots,,Not four us.,3.0,45.0
sharpcarb,Other - please specify,"We were hoping that this would be more user friendly. Did work for basic functions. Wasn't a bad systems, it just didn't work well for my application. ",25.1,45.0
bambinilayette,,"not using the software enough.

Perhaps when we higher our dedicated sales rep next year.

",2.7,45.0
lbc,,do not use it enough,2.3,45.0
flyingbirdsales,Using another CRM Product,We are now using HubSpot as it is more customizable and works better for our needs.,57.9,45.0
thoughtfulltoys,Not using their Method Account,"has not been used for 2 years says kim. 
The users who used to use method no longer work here, would like to cancel ASAP. ",48.3,45.0
sacramentosports1,,Service does not provide what I need.,2.8,45.0
kohlerindustriesinc,,This isn't useful to us.,3.1,45.0
calpacificsupplyinc,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
calpacificsupply",0.0,44.25
homersicecream,Other - please specify,Dont want to connect QB file,0.9,44.25
pr2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
protronixcontrols3",0.1,44.25
relaxtires,Other - please specify,Keeps freezing. And unable to add quantity in invoices sometimes,0.5,44.25
beuta,Other - please specify,No need to reschedule. We decided to go with a different CRM.,0.1,44.25
optivor,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
testinggroupllc",0.4,44.25
castlebar2,Other - please specify,Customer was deciding between QBDT and QBO. Opt d to move to QBO - New Account castlebar3,0.2,44.25
curlerats,Other - please specify,I was looking for inventory management.,0.1,44.25
transportsignsltd,Other - please specify,Business rolling up,11.1,44.0
highandmightyofficeseatingltd1,Other - please specify,We only need one account with Back 2,9.0,44.0
gaiafloor,Not using their Method Account,Sync issues took more time to resolve than CRM time saved.,14.6,44.0
kymeds,Other - please specify,Not user friendly and slow,9.7,44.0
mackusa1,Other - please specify,did not work well with our sales process,4.9,44.0
amcoproteins,Not using their Method Account,Don't need the services !,14.3,44.0
colorspizza1,Other - please specify,"was recommended by QB, turned out not to be what I need - even after extended paid Customization 
Please cancel now or end of contract - DO NOT RENEW IN ANY CIRCUMSTANCES
Please acknowledge cancelation
Thank you
Martial@colorspizza.com",9.0,44.0
chemworksco,Other - please specify,"Heather requested cancellation, not using/interested in additional training",2.2,44.0
littlebranchfarm,,I canceled before the trial ended. I do no like this service,12.7,40.5
coastalsurfsupplies,Other - please specify,Too expensive for our current needs,29.9,40.5
tumbleweedpropane,,changed mind and went with a different developing compnay,13.2,40.5
GrapevineVenturesInc,Non-payment,No response to hold,1.9,40.0
clearlyscrumptiousuk,Sold Business / Closing Company,Business no longer trading.,88.0,40.0
ridgeway,Non-payment,No response to hold,2.0,40.0
ti22,,Business has been sold,45.5,40.0
TAO,Non-payment,No response to hold,7.0,40.0
kraftpowercon,Other - please specify,Only person using the account left the company - no longer needed,5.1,40.0
DLI,,The service - we ended up investing too much time in configuration and still have not been able to truly get started. We will be going with another option.,11.6,40.0
nationaltool,,Have an account that is operable at ntgproducts,1.5,40.0
slc1,,Not intuitive. Tie into QB is not necessary after all.,5.9,40.0
chowrentoysllc,Difficult to Customize,"Method: Classic account, not used for the last six months. He further expressed disappointment that we have stopped doing updates to Method: Classic and not transferring his customization to Method: New without any charge. There are 95 custom screens in his account.",122.8,40.0
PerfectBrew,,This was not in anyway a good fit for our business. There are many other better products available on the market.,4.5,40.0
DelcanBuildingMaterials16,,to complicated to use.,2.1,40.0
SLSConsulting,,Does not need,5.0,40.0
pmanagers,Not using their Method Account,The customer is cancelling the account because they no longer use this system and they already have an inbuilt system for doing the CRM activities.,67.3,40.0
LCSB,Signing up for new Method account,"Started two trials, forgot to cancel one of them and has been paying for both but only using one.",3.2,40.0
salusmedical,Non-payment,No response to hold,5.0,40.0
CleaningSystemsInc,Non-payment,No response to hold,1.9,40.0
PumpAlarmLLC,,No longer used.,25.5,40.0
neogenesisinc,Other - please specify,"We switched to a different CRM quite some time ago, but kept one license just in case we needed to access the information.  The reason we switched was due to the cost to customize Method to fit our needs.  We were told that the customizations we needed to do could be done by us, but it turned out there was some programming needed, which was beyond my skill set and the cost to have you do it was higher than we were looking to spend at the time.  If you could cancel it I would appreciate it.  Thank you.",40.1,40.0
TPBINT,Non-payment,No response to hold,1.9,40.0
TXSNWMN,,didn't fit our requirements at this time.,5.0,40.0
WhereLifeTakesYou,Non-payment,No response to hold,1.9,40.0
adaptiveenergy,,No need for it.,20.9,40.0
BergenBotanicals,,budget,4.2,40.0
AvioTechLtd,,.,5.7,40.0
alamopos,,Not using system enough to justify cost,4.7,40.0
CocoZsaZsa,Non-payment,No response to hold,1.9,40.0
hidsystem,,It cause our Quick book crash a lot.,11.1,40.0
FortyNiner,,lqkjdl,15.6,40.0
Retrotel,,Staying with Act.,22.1,40.0
conspecgrp,,Not using this software.,4.2,40.0
Bambini2,,"had issues with the interface and lead callsheets

ended up having to develop our own.",4.8,40.0
iotw18,,no longer need.,6.5,40.0
PA5894,,We don't use the program,23.0,40.0
Biomedical,,"As per Alik: I am not using the account  Biomedical, I am using only BMWD.",2.0,40.0
ab,,Difficult to customize. Price,3.2,40.0
SelectaFlooring,,Adam Pollack cancelled this account on behalf of the user who requested it. Saudia originally informed me to do so.,8.4,40.0
technisoilindustrial,Not using their Method Account,We are not using a CRM,80.3,40.0
RLFSaladoQuarriesLLC,Other - please specify,"""I got some history on this from the Company owners.    We originally got the subscription as a possible replacement for a program we currently use.  We worked with a consultant named Beth to try to customize this to our needs.  It was concluded it could not be done.  This is why none of the profiles in our application was active.  We were not using it.    We should have cancelled this some time ago, but my predecessor never got around to it.""",53.6,40.0
Faustinac,,Do not need the service anymore.,5.9,40.0
Gutterglove,Other - please specify,Not using the account. ,48.6,40.0
artgame,Not using their Method Account,Program was not adopted by sales staff,96.5,40.0
EdgeTechLLC,,"While the platform is certainly highly configurable, making the UX portion very attractive, the UI portion was limiting, and in fact made it so that I did not really want to use the CRM at all. Along with that, the lack of mobile functionality was the tipping point for me. Thank you.",9.2,40.0
CenmedOnline,,Mgmt. staff has deceided to go to a more cost effective CRM called Zoho.,21.9,40.0
ConEquipPartsLLC,Duplicate Account,"This is a very old account that we didn't realize was still active until someone in our billing department mentioned it.

We are keeping our primary account with 20 users but this single user account can be cancelled.",114.2,40.0
DPAMicrophones,,We have had some management  changes and we are going another way,4.3,40.0
AlarmNow,Non-payment,No response to hold,6.0,40.0
AbbottSchilens,,"program was good, just different internal strategy required change",11.5,40.0
TerraFirmaBotanicals,,"The company's major admin person fell ill -- and the company will be slowing down business (i.e. new sales), so the owner has deemed this not necessary.
However...I loved it. And I plan on turning others onto it, i.e. those who use QB. :)",3.5,40.0
MDD,Non-payment,No response to hold,6.8,40.0
BadgePlus,Not using their Method Account,Customer not using and request cancellation,101.6,40.0
indecorpllc,Sold Business / Closing Company,"You did not let us down at all.  We found Method to be a truly vital part of our business for a very long time.  We are in the process of shutting down the business that we used method for, so we do not need a CRM system at this time.  If we were ever in a position to need a CRM system again, we would definitely consider contacting you again.  We thank you for all of your attention and service and would recommend you to anyone needing a CRM system.",60.6,40.0
namusacrm,Signing up for new Method account,See Exception Notes - NH,25.1,40.0
ThePartyCorp,,This service will be too costly for us.,4.9,40.0
Callaway,,It no longer meets my needs.,25.9,40.0
CascadeClearWater,,"Found the page loads too slow and the general organization counterintuitive.
Best of luck.",4.1,40.0
KellssonLinens,,Just isn't the fit we were looking for at this time.,2.2,40.0
michelleisd,Other - please specify,I went through the trial and found that it wasn't going to work for what we needed.,2.1,40.0
soundcontrol,Other - please specify,Customer closed down their business and does not have a user for Method anymore. ,30.6,40.0
TonyLazarus,,I am using my in -house contact manager and do not need this program.,10.0,40.0
ExclusiveSalonProducts,,na,5.0,40.0
KemperTechnologyConsulting,Non-payment,No response to hold,2.0,40.0
GenManUSA,Other - please specify,I found method to be very difficult and cumbersome to use. Probably too much program for our needs,12.0,40.0
HistoricNoirCoffeeGroupInc,Non-payment,No response to hold,1.9,40.0
EstesCainHVAC,Non-payment,No response to hold,1.9,40.0
salaam,Non-payment,No response to hold,1.9,40.0
RootstockIL,,"Request from customer to cancel account. Customer has decided to move in another direction as they feel the multi tenancy will be too difficult to set up on their own and do not want to spend money on consulting to have us set it up.
-AM.",2.0,40.0
DreamyMurals,,I found an industry speicif software package that better fit my current needs,3.0,40.0
RootstockWI,,"Request from customer to cancel account. Customer has decided to move in another direction as they feel the multi tenancy will be too difficult to set up on their own and do not want to spend money on consulting to have us set it up.
-AM.",2.0,40.0
VCInc,,Wanted to utilize the portal in order to display customer order information and status. We saw that there was no stock functionality within the system that is able to handle order management and we aren't willing to invest the money in developing the solution.,7.1,40.0
SmithSeedsInc,,Didn't use.,3.9,40.0
SweetWaterFashion,,no longer needed,3.5,40.0
AutomatizacionCorp,,was not working since Aug 2013.,15.2,40.0
lohmannsailsandcovers,,Compared to Zohothe customization is too complicated,44.3,40.0
ownitworkit,Non-payment,No response to hold,20.9,40.0
TheSeaAirGroup,Non-payment,No response to hold,6.0,40.0
ForceFinancials,,not needed at this time,3.0,40.0
ThePostureWorks,Non-payment,No response to hold,2.9,40.0
diestrollc,Non-payment,No response to hold,22.0,40.0
PolyMart,,I am only canceling this account because we merged companies and started a new account and added more functions and users. We are very happy with this service and are excited to grow as a company with your applications assistance.,9.9,40.0
TheITGuyInc,,"Not using at this time. Started too early wasn't ready for it. I plan or restarting by August, need to get my mass marketing up and getting consistent calls to better able utilize this platforem",1.7,40.0
Doortronix,,not needed,4.1,40.0
The3DPrinterExperience,,Switching to Salesforce.,4.0,40.0
kvmm,,Wasn't working for us,9.9,40.0
Seanthomaspoint1,,"We have developed into a design build - with no real sales people and more custom - no need for this at this time 
All the best 

Sean 

Good system but not practical for us at this time",6.1,40.0
Antcliff,,not ready for method yet,4.1,40.0
EvolveGolfInc,,We had two test accounts.,2.3,40.0
ManzWebDesigns,,"I have a solution that I am running from my own server... less expensive, especially since I am already paying for a server admin.",3.6,40.0
JeanMourraLimitada,Other - please specify,Did not specify a reason for cancelling,6.6,40.0
RoklinSystems,,It was not being used.  One thing was the notes did not sync between program.,16.4,40.0
SilverLeaf,,"I like Method CRM, but it is too powerful for my needs at this time, as I am unable to take advantage of all of it's features.  Also, I am discontinuing use of the QuickBooks Online account that it is linked to.  I will probably start a new QBO and revisit Method CRM at a later date!",2.5,40.0
GardenDeva,,I am no longer working with this company,6.3,40.0
MBFragrancesLLc,,i am not using this point,5.4,40.0
DeluxePlastic,,Price level support in estimates did not work to my satisfaction.,3.0,40.0
SteelCitySupply2,,We did not find Method CRM as a good fit for our company,5.6,40.0
Dispatch,,Too much add on billing for problems that come from your end with changes needed...,1.6,40.0
NetSolutions,,Found much more difficult to use and time consuming compared to other solutions.,9.8,40.0
NationalScreenAndGlass,,"Method does not provide the type of solution we are looking for on our highest priorities- pipeline & sales management, call and communication tracking, especially when it comes to ease of use.  Method requires too many clicks to log simple tasks, visualization of sales funnels are lacking, and reports are extremely difficult to customize and run.  Actually, Method as a whole is pretty difficult to customize.

I applaud your system's integration with QuickBooks- certainly top of the market- however that is no longer a high priority for our company.  I have found a couple solutions that out perform Method since singing up last year.",9.9,40.0
Signature,,we are not ready,9.2,40.0
SouthCountyLLC,,Unnecessary service,1.1,40.0
sbsm,,Price,5.4,40.0
Zasmos,Non-payment,No response to hold,3.9,40.0
SFLEXINC,,opened another account,1.1,40.0
ExpressCaCorp,,Suspending for now,3.3,40.0
ehdcenter,,Love the software. Not making use of it at this time due to a change in ownership of company.,13.0,40.0
usaofficefurniture,,Lack of usage ,33.3,40.0
MarbleLifeDelawareValley,Other - please specify,Customer request - Not using account.,55.2,40.0
TheClockLady,,didn't use,9.0,40.0
UniversalServoGroup,,No longer beneficial to us.,38.2,40.0
FTTH,Other - please specify,Moved from QBD to QBO - new account already opened - PW,3.8,40.0
stevenseng,Non-payment,too complicated,9.8,40.0
ApiqeWater,,Methods service was no longer needed for our company. We do not have a purpose for this website anymore.,4.1,40.0
snyfur,,Old test account,42.1,40.0
Taipancanada,,Switched to a new simpler CRM,12.6,40.0
Weehoo,,"Not simple enough for our needs.  Too much customization to get basic features.  
The team up there is great and provides good service.",8.0,40.0
Photoex,,Have to make financial cutbacks,1.9,40.0
EnvironmentalPackagingTechnologiesInc,,no time and too many issue with implementation,7.0,40.0
monstercleanva,,My old CRM program (Principalfocus Servicemonster) now integrates with Quickbooks,4.0,40.0
FordhamMarble,,Very disappointed method could not print reliabaly what was entered on screen.,19.7,40.0
GoldenLeafEnergy,Non-payment,No response to hold,2.9,40.0
KineticComputer,,"We found an industry specific application that fits our needs better, but I will certainly recommend method.me to everyone outside our field.  It is AMAZING.",5.9,40.0
ConsolidatedNurseriesLLC,Non-payment,No response to hold,39.0,40.0
ThreeKingsGifts,Other - please specify,"Not user friendly enough for their team, and not a tool the team is able to use effectively. ",91.9,40.0
ThreeCordsConstructionLLC,,Need to reduce expenses.,4.2,40.0
SurfaSlick,,We have just not implemented the program at this time. Still a possibility in the future.,3.9,40.0
EminiProfessorSystem,Non-payment,No response to hold,5.9,40.0
ezyhealth,,New account already opened,37.0,40.0
irdefense,Other - please specify,Company was sold,27.1,40.0
deyone,Non-payment,No response to hold,5.0,40.0
ParknPoolCorp2,Other - please specify,"Customer called in and mentioned they do not have use for Method anymore , since they aren't using it.  Cancelling account. ",65.9,40.0
iotw182,,No longer need.  I requested this account be canceled several months ago.,17.9,40.0
AquaTechnologyGroup,,No email inbox support. We would like to forward an email to an inbox like Highrise or others. It fits our workflow better. The interface is also a little too clunky and needs some layout improvement. Otherwise the integration is great and we really liked the scheduling integration.,4.9,40.0
SignFabInc,Non-payment,No response to hold,31.9,40.0
WellImp,,"nothing wrong with the system other than it was a bit slow. My main reason for wanting to cancel it is that I simply don't use the program like I thought I would. We initially wanted to get more staff involved with using it, but no one really got too excited about it, so I couldn't use it to its fullest extent",8.3,40.0
Laundrysvctech,Non-payment,No response to hold,4.0,40.0
ELITETASKFORCE,Non-payment,No response to hold,2.0,40.0
purewater,Other - please specify,Customer requested to have account cancelled. Didn't specify a reason - PW,10.1,40.0
DailyVoice,,We found another solution to our problem that was better suited to our needs than Method's CRM.,1.3,40.0
LouisvilleGraphicsInc,Non-payment,No response to hold,9.9,40.0
antibodyverify,,No longer using this account,6.0,40.0
Primus,Non-payment,No response to hold,14.0,40.0
thesquamishsplash,Other - please specify,We no longer use this program,81.3,40.0
silkletter,,Using another service,28.1,40.0
omniorthodontics,Other - please specify,Business is no longer working.,38.2,40.0
ComplianceServ,,No ability to pay u,1.1,40.0
Exim,,We don't use it.  ,48.0,40.0
FairytaleBoutiqueLLC,Non-payment,No response to hold,3.0,40.0
Cinch,,Too complicated to set up.,2.2,40.0
SLIPforbeautysleep,,Too slow and we're moving away from Quickbooks to Xero.,6.4,40.0
artisancabinets,,no need for it,9.3,40.0
SPointCWB,,"I didn't start to use Method yet, so when we are going to, we start paying again.",5.5,40.0
aquflow,Other - please specify,No one was using it regularly.,50.9,40.0
advauto,Not using their Method Account,We just out grew it. Thank you!,86.6,40.0
eldoclass,Non-payment,No response to hold,1.8,40.0
USgate,Non-payment,No response to hold,3.9,40.0
MrBsBarSupplyInc,,Too complicated for what our company needs.,2.6,40.0
AvivaSystemsBiology,,No longer use the service,6.0,40.0
EvolveSalonSystems,Other - please specify,They were only using it for their inside sale team but they no longer have that team in place. They will back once they have another team in place.,4.2,40.0
AddPlus,Non-payment,No response to hold,6.9,40.0
sageHaus,,because,4.8,40.0
AlpineSnow,Other - please specify,we are no longer using the account,76.0,40.0
OkonoCorp,Other - please specify,Moved to a new account (OkonoSales),7.2,40.0
EastBaySeafood,,You suggested me to cancel due to quickbooks reduced size and I can sign up for another one with newly update reduced Quickbooks file.,13.8,40.0
RetroPetsSales,Non-payment,No response to hold,16.9,40.0
NewJerseyPoolRepair,,Decided to go with Service Auto Pilot instead.,2.6,40.0
SDSSupplyCorp,,Just don't use enough,16.2,40.0
LymphedemaProductsLLC,Tech Issue - Applications & Sync,Tried to sync to new QB file and ended up with thousands of duplicated customers,29.3,40.0
DIVERSIFIEDANDSYNERGY,Non-payment,No response to hold,3.9,40.0
InteractMarketingLLC,,Closing business,4.8,40.0
RFVenue,,Not a good fit for our needs,1.5,40.0
ProjectWeavers,,na,3.1,40.0
DrillersChoice1,,never used it,23.2,40.0
wadeamg,Non-payment,No response to hold,8.0,40.0
VillaTerrazza,Non-payment,No response to hold,1.9,40.0
UpTech,Non-payment,No response to hold,10.0,40.0
GenevaLabUSA,,Not used or needed,11.7,40.0
TridentSupport,,"While I found the QB integration was very well done with Method, a large amount of our customer interface is via email (using MS Outlook).  I did not find your Outlook integration as well designed as some other CRM solutions ... I am currently evaluating other CRM solutions (including ""Prophet"", which is very tightly integrated with Outlook, although it doesn't have the interface with QB) ... so, for me its a matter of trade-offs ... have a good CRM solution that integrates with how we communicate with customers, or a good CRM solution that integrates with our accounting software ... neither are optimal, but at this point I am looking at the ""communications"" aspect as being more important (with regards to a customer relationship management tool) than accounting.  I thank you for your assistance ... your product is good, but just wasn't the best fit for us.  
Regards,
Marc Summers",3.0,40.0
iotw17,,no longer need.,8.7,40.0
feedbacksportsllc,Other - please specify,Request from customer,3.4,40.0
fastfreddiellc,Not using their Method Account,We aren't utilizing the CRM enough to make it worth the expense.,76.9,40.0
USWatercraft,Non-payment,No response to hold,2.9,40.0
Aspinline,Difficult Workflows / Workflow Challenges,"we just do not require all the special and wonderful functions that Method can offer us. Although as our company continues to grow, Method maybe something that we would want to look into further down the road.",3.2,40.0
TechnoSolutionsWorld,,Too Complicated to work with. Its easier to track everything in Quickbooks and Outlook.,3.0,40.0
PortlandStore,,na,3.1,40.0
MAVRON,,Moving to a different accounting software and CRM is part of it,16.4,40.0
NodbodLLC,,need better mobile experience. waiting for next version.,3.1,40.0
MetroDetroitWindow,Non-payment,No response to hold,1.9,40.0
olloclip,Non-payment,No response to hold,1.9,40.0
oceanjazz,Non-payment,No response to hold,2.0,40.0
NewShowersPass,,Going live with SPsales,1.6,40.0
Kaffa,Non-payment,No response to hold,1.9,40.0
marscarpet,Non-payment,No response to hold,1.9,40.0
rbcitrus,Non-payment,No response to hold,1.9,40.0
SFReporters,,no using it,9.0,40.0
Scienzminds,,I am not at all using this.,3.4,40.0
scability,,Not using it...,11.7,40.0
PLF,,Cancel and credit todays billing as is allowed by VISA/MC terms of service.,13.0,40.0
Terrachem,,"Not using Method at all.
We are using another system for CRM.",12.5,40.0
genetest,,This was only a duplicate and should not have been charged.,2.0,40.0
Platform,,Didn't use it at all during our subscription,5.0,40.0
currentusa,,aren't using the product,8.0,40.0
CascadaInternationalCorporation,Non-payment,No response to hold,1.9,40.0
