account,industry,sub_industry,workflow_pattern,total_events,classification_source,confidence,website,annual_sales,qbo_industry
tfriedl,Consumer Goods,Jewelry,quote_driven,92,llm_classification,medium,,0,Wholesale/Distribution
vantagemeasure,Consumer Goods,Jewelry,quote_driven,483,llm_classification,medium,,"2,575,514",other
urbanfrontltd,Construction & Building,Doors & Windows,crm_pipeline,1727,manual_verification,high,,"1,640,756",
FoamRubberFabricators,Healthcare & Medical,Medical Equipment,quote_driven,1457,llm_classification,medium,,"1,180,017",
raybiotech,Technology,Software/Technology,quote_driven,2189,llm_classification,medium,,"19,659,832",Manufacturing
leichtseattle1,Services,Professional Services,transactional,143,llm_classification,medium,,"3,604,151",
exergamefitness,Sports & Recreation,Sporting Goods,quote_driven,5004,llm_classification,medium,,"5,194,962",
boeckeler,Food & Beverage,Spirits,crm_pipeline,1680,llm_classification,medium,,0,Manufacturing
timberwolfforest,Construction & Building,Lumber,mixed,3850,llm_classification,medium,,"1,536,541",RetailSummary
lifetimeteallc,Services,Professional Services,crm_pipeline,101,llm_classification,medium,,"472,860",Tea merchant wholesalers
redeagleinternational,Industrial,Agricultural Chemicals,transactional,7815,manual_verification,high,,"66,506,175",Manufacturing
rapidindustriesqbd,Other,Unclassified,mixed,718,unclassified,,,"1,097,797",Manufacturing
BonOpusSales,Food & Beverage,Craft Beer,quote_driven,2869,llm_classification,medium,,"3,410,832",ManufacturerRepresentativeorAgent
cfsusa1,Other,Unclassified,crm_pipeline,307,unclassified,,,0,Manufacturing
stanwoodredimix,Construction & Building,Lumber,mixed,5118,llm_classification,medium,,"9,622,239",
sumakenorthamericaMT,Industrial,Pneumatic Tools,quote_driven,10636,manual_verification,high,,"4,040,416",Manufacturing
precisionsurgicalinc,Healthcare & Medical,Medical Equipment,quote_driven,2966,llm_classification,medium,,"8,125,379",MedicalDentalorHealthService
theblastbagCo1,Industrial,Abrasives,mixed,3047,llm_classification,medium,,"2,938,251",Manufacturing
solsticeag,Industrial,Agricultural Products Distribution,crm_pipeline,17896,manual_verification,high,,"10,931,849",WholesaleDistributionandSales
akzanwholesale,Food & Beverage,Craft Beer,mixed,2274,llm_classification,medium,,0,WholesaleDistributionandSales
pacificergonomics,Furniture,Furniture,quote_driven,4285,llm_classification,medium,,"17,465,599",WholesaleDistributionandSales
bccrmed,Healthcare & Medical,Medical Equipment,transactional,553,llm_classification,medium,,0,Wholesale/Distribution
hollingbery,Other,Unclassified,quote_driven,370,unclassified,,,"16,921,005",WholesaleDistributionandSales
back2internationalltd,Furniture,Furniture,transactional,9119,llm_classification,medium,,"5,630,568",
deltakits1,Automotive,Auto Glass Repair,transactional,15884,manual_verification,high,,"2,167,103",Manufacturing
headnhome,Consumer Goods,Apparel/Hats,mixed,12275,manual_verification,high,,0,Manufacturing
USTestingEquipment,Other,Unclassified,quote_driven,815,unclassified,,,"6,104,809",Service Business
chapmanco,Food & Beverage,Spirits,transactional,21733,llm_classification,medium,,"71,618,541",
voltairesystems,Construction & Building,HVAC,quote_driven,386,llm_classification,medium,,0,Manufacturing
podiatrycc,Healthcare & Medical,Medical Equipment,transactional,823,llm_classification,medium,,"6,582,320",RetailSummary
expressassembly1,Manufacturing,Contract Assembly,transactional,8374,manual_verification,medium,,"3,536,078",manufacturing
CunninghamPianoCo,Retail,Musical Instruments/Pianos,transactional,5424,manual_verification,high,,"7,294,298",
atWork,Furniture,Office Furniture,quote_driven,3026,manual_verification,medium,,"10,436,637",RetailShoporOnlineCommerce
affinityr,Other,Unclassified,crm_pipeline,11,unclassified,,,"221,461",Wholesale/Distribution
blkcorp,Food & Beverage,Spirits,quote_driven,5638,llm_classification,medium,,"2,255,004",GeneralServicebasedBusiness
apexstone,Construction & Building,Concrete/Masonry,transactional,8457,llm_classification,medium,,"7,263,885",other
shedyard,Construction & Building,Sheds/Prefab Buildings,crm_pipeline,4377,manual_verification,medium,,0,RetailSummary
abeep,Other,Unclassified,quote_driven,433,unclassified,,,"9,551,261",wholesale_distribution
brownsafe,Security Equipment,Luxury Safes,quote_driven,33497,manual_verification,high,,"21,600,258",manufacturing
equipmentguys,Consumer Goods,Jewelry,quote_driven,8245,llm_classification,medium,,"11,624,348",manufacturing
houhyd,Other,Unclassified,transactional,138,unclassified,,,"1,500,483",Manufacturing
usafleetsolutions,Food & Beverage,Spirits,quote_driven,16428,llm_classification,medium,,"6,355,972",
novamen,Consumer Goods,Apparel,quote_driven,9882,llm_classification,medium,,0,RetailShoporOnlineCommerce
fifoil,Construction & Building,Insulation,crm_pipeline,19712,manual_verification,high,,"16,166,730",
fxpartnersusa1,Other,Unclassified,transactional,216,unclassified,,,"676,808",Manufacturing
AVAILForensicsCo1,Other,Unclassified,quote_driven,114,unclassified,,,"71,388",Computer systems design services
officefurniturecentreglasgow,Furniture,Furniture,quote_driven,2420,llm_classification,medium,,"1,435,146",
fujimats,Sports & Recreation,Martial Arts Equipment,quote_driven,33716,manual_verification,high,,"14,253,009",ManufacturerRepresentativeorAgent
classicrockfaceblock,Security Equipment,Safes/Security,quote_driven,628,llm_classification,medium,,"261,414",Manufacturing
ascocarbondioxideinc,Automotive,Auto Parts,quote_driven,519,llm_classification,medium,,"2,872,202",
magnummarketing,Automotive,Shop Equipment,quote_driven,4274,manual_verification,high,,"1,003,480",ManufacturerRepresentativeorAgent
theheartpinecompany,Other,Unclassified,crm_pipeline,72,unclassified,,,"2,921,571",
celluma,Healthcare & Medical,LED Light Therapy,mixed,90126,manual_verification,high,,"50,953,150",manufacturing
stagepolymers,Manufacturing,Plastics,quote_driven,1054,llm_classification,medium,,"4,537,055",
knf,Manufacturing,Pump Equipment,transactional,15914,manual_verification,high,,"1,282,915",Manufacturing
tippmannarmscompanyllc,Sports & Recreation,Sporting Goods/Airsoft,quote_driven,2003,manual_verification,high,,"7,506,383",
ErazorBits2017,Other,Unclassified,transactional,311,unclassified,,,"567,474",wholesale_distribution
lenworth,Services,Equipment Service/Repair,quote_driven,3155,manual_verification,medium,,0,OtherNone
dmitriyco1,Services,Custom Services,crm_pipeline,2587,manual_verification,low,,"6,271,001",Furniture and Home Furnishings Stores
thesplashhottubspools,Services,Professional Services,transactional,14302,llm_classification,medium,,"1,037,657",All other miscellaneous store retailers (except tobacco stores)
ct,Food & Beverage,Pet Food/Feed,quote_driven,1412,manual_verification,medium,,"1,847,580",Wholesale/Distribution
customturnings,Manufacturing,Wood Components,mixed,4051,manual_verification,high,,"2,869,542",Manufacturing
genprollc,Food & Beverage,Spirits,mixed,2186,llm_classification,medium,,0,
grothouse,Furniture,Wood Countertops,mixed,8720,manual_verification,high,,"5,828,472",Manufacturing
coolsealgaskets,Industrial,Gaskets/Seals,transactional,2127,manual_verification,high,,0,Refrigeration equipment and supplies merchant wholesalers
hidcorind,Other,Unclassified,transactional,568,unclassified,,,"210,130",
elmusa,Other,Unclassified,quote_driven,435,unclassified,,,"3,502,728",
pipefusionservicesinc,Construction & Building,Plumbing,mixed,632,llm_classification,medium,,0,
globalpackage,Manufacturing,Packaging,quote_driven,1692,llm_classification,medium,,"3,271,659",sales_manufacturers-rep
exloc9,Other,Unclassified,crm_pipeline,807,unclassified,,,"5,483,261",ManufacturerRepresentativeorAgent
uatllc,Other,Unclassified,transactional,269,unclassified,,,0,
fjsproductionsllc,Services,Event Production,transactional,6739,manual_verification,medium,,"2,109,264",
cityfloral,Consumer Goods,Jewelry,transactional,16163,llm_classification,medium,,"1,417,160",Retail
atlanticgraphics,Industrial,Printing Equipment,quote_driven,1403,manual_verification,high,,"5,850,015",
elecraft7,Technology,Amateur Radio Equipment,mixed,2399,manual_verification,high,,"1,941,267",manufacturing
vis2,Industrial,Janitorial Supplies,quote_driven,2434,manual_verification,medium,,"1,852,686",Manufacturing
racecardynamicsofarizonainc,Furniture,Furniture,mixed,2250,llm_classification,medium,,0,Wholesale Distribution and Sales
modcycles,Automotive,Powersports Parts,mixed,21217,manual_verification,high,,"1,121,649",Wholesale/Distribution
leontineserver,Consumer Goods,Jewelry,crm_pipeline,7104,llm_classification,medium,,"2,474,109",retail
proav,Food & Beverage,Spirits,quote_driven,1113,llm_classification,medium,,"1,435,862",
brechtel,Services,Professional Services,quote_driven,437,llm_classification,medium,,"127,550",Manufacturing
vmgindustries,Food & Beverage,Spirits,crm_pipeline,48,llm_classification,medium,,"6,698",manufacturing
methodmobility,Other,Unclassified,crm_pipeline,150,unclassified,,,"5,111,513",
aw,Construction & Building,Flooring,quote_driven,1046,llm_classification,medium,,"713,995",manufacturing
idsheat,Other,Unclassified,quote_driven,459,unclassified,,,"3,538,045",wholesale_distribution
ntgproducts,Industrial,Netting Products,quote_driven,4094,manual_verification,high,,"6,973,055",Manufacturing
keybusinesssolutions,Technology,Office Equipment/Supplies,mixed,4638,manual_verification,medium,,"1,386,084",OtherNone
bham,Food & Beverage,Craft Beer,transactional,2037,llm_classification,medium,,"559,896",retail_online_commerce
msf,Other,Unclassified,crm_pipeline,869,unclassified,,,"68,724",
weightechusa,Technology,Software/Technology,crm_pipeline,1664,llm_classification,medium,,"755,022",RetailSummary
microdairydesigns,Construction & Building,HVAC,transactional,1402,llm_classification,medium,,"1,479,402",Manufacturing
americanstonecraft,Food & Beverage,Craft Beer,transactional,240,llm_classification,medium,,"82,897",
dewesoft,Technology,Data Acquisition/Test Equipment,quote_driven,26706,manual_verification,high,,"49,962,844",
supplyshield,Services,Compliance/Certification,transactional,3325,manual_verification,medium,,"3,934,698",WholesaleDistributionandSales
skyproduct,Construction & Building,Roofing/Solar Mounting,quote_driven,6205,manual_verification,medium,,"1,877,849",WholesaleDistributionandSales
refreshdeal,Consumer Goods,Corporate Gifts/Deal Toys,quote_driven,22746,manual_verification,medium,,"4,441,627",
